9/13/2015 13:04,Cameron's Cuties,35.6,120.2,434,e
9/13/2015 13:04,The NFP Project,47.2,128.6,468,e
9/13/2015 13:04,Peter Pan's Poor Nanna,7.2,95.3,477,f
9/13/2015 13:04,Bill T. Sherm's Tank-A-Palooza,24,110.1,468,f
9/13/2015 13:09,Team Shokunbi,28.1,95.4,397,a
9/13/2015 13:09,Goodels Goons,51.5,113.8,339,a
9/13/2015 13:09,Russell Wilsons Secret Stuff,22.4,95,400,b
9/13/2015 13:09,Urban Fervor,36.2,111.8,421,b
9/13/2015 13:09,The Fucking JFK Mystery Bullets,34.4,117.5,459,c
9/13/2015 13:09,Loafs n' Jugs,10.6,96,475,c
9/13/2015 13:09,12.5 PSI,7.2,89.7,506,d
9/13/2015 13:09,Pierre Paul's  Index Finger,38.6,112.5,398,d
9/13/2015 13:09,Cameron's Cuties,37,121,430,e
9/13/2015 13:09,The NFP Project,50.9,131.6,463,e
9/13/2015 13:09,Peter Pan's Poor Nanna,7.2,94.6,473,f
9/13/2015 13:09,Bill T. Sherm's Tank-A-Palooza,31.1,116.2,463,f
9/13/2015 13:14,Team Shokunbi,28.5,95.2,394,a
9/13/2015 13:14,Goodels Goons,50.9,112.6,336,a
9/13/2015 13:14,Russell Wilsons Secret Stuff,23.3,95,394,b
9/13/2015 13:14,Urban Fervor,38.6,113.7,419,b
9/13/2015 13:14,The Fucking JFK Mystery Bullets,34.4,116.9,455,c
9/13/2015 13:14,Loafs n' Jugs,16.9,101.4,471,c
9/13/2015 13:14,12.5 PSI,9.6,91.1,502,d
9/13/2015 13:14,Pierre Paul's  Index Finger,39.3,112.4,392,d
9/13/2015 13:14,Cameron's Cuties,38.3,121.7,425,e
9/13/2015 13:14,The NFP Project,50.9,130.5,456,e
9/13/2015 13:14,Peter Pan's Poor Nanna,7.2,94,469,f
9/13/2015 13:14,Bill T. Sherm's Tank-A-Palooza,31.1,115.2,458,f
9/13/2015 13:19,Team Shokunbi,28.5,93.7,382,a
9/13/2015 13:19,Goodels Goons,51.9,112,327,a
9/13/2015 13:19,Russell Wilsons Secret Stuff,25.1,94.3,383,b
9/13/2015 13:19,Urban Fervor,39,113.5,416,b
9/13/2015 13:19,The Fucking JFK Mystery Bullets,35.7,117,449,c
9/13/2015 13:19,Loafs n' Jugs,16.9,99.4,459,c
9/13/2015 13:19,12.5 PSI,14,94.6,496,d
9/13/2015 13:19,Pierre Paul's  Index Finger,40.1,112.1,385,d
9/13/2015 13:19,Cameron's Cuties,38.4,120.7,419,e
9/13/2015 13:19,The NFP Project,50.9,129.8,450,e
9/13/2015 13:19,Peter Pan's Poor Nanna,10.9,96.9,464,f
9/13/2015 13:19,Bill T. Sherm's Tank-A-Palooza,31.1,112.5,445,f
9/13/2015 13:24,Team Shokunbi,27.5,92.6,381,a
9/13/2015 13:24,Goodels Goons,54.9,115,327,a
9/13/2015 13:24,Russell Wilsons Secret Stuff,31.4,100.3,381,b
9/13/2015 13:24,Urban Fervor,39,113.5,416,b
9/13/2015 13:24,The Fucking JFK Mystery Bullets,35.7,116.7,447,c
9/13/2015 13:24,Loafs n' Jugs,17.3,99.8,459,c
9/13/2015 13:24,12.5 PSI,15.4,95.7,495,d
9/13/2015 13:24,Pierre Paul's  Index Finger,40.1,111.7,382,d
9/13/2015 13:24,Cameron's Cuties,42.9,124.9,417,e
9/13/2015 13:24,The NFP Project,50.9,129.5,448,e
9/13/2015 13:24,Peter Pan's Poor Nanna,11.3,97.3,464,f
9/13/2015 13:24,Bill T. Sherm's Tank-A-Palooza,31.1,112.1,443,f
9/13/2015 13:29,Team Shokunbi,27.5,92.3,379,a
9/13/2015 13:29,Goodels Goons,55.7,115.4,325,a
9/13/2015 13:29,Russell Wilsons Secret Stuff,32.9,101.5,379,b
9/13/2015 13:29,Urban Fervor,39,113.4,415,b
9/13/2015 13:29,The Fucking JFK Mystery Bullets,35.7,116.2,444,c
9/13/2015 13:29,Loafs n' Jugs,17.5,99.9,458,c
9/13/2015 13:29,12.5 PSI,15.4,95.3,493,d
9/13/2015 13:29,Pierre Paul's  Index Finger,40.1,111.1,378,d
9/13/2015 13:29,Cameron's Cuties,42.9,124.4,414,e
9/13/2015 13:29,The NFP Project,53.5,131.9,445,e
9/13/2015 13:29,Peter Pan's Poor Nanna,11.3,97.1,463,f
9/13/2015 13:29,Bill T. Sherm's Tank-A-Palooza,31.1,111.2,439,f
9/13/2015 13:34,Team Shokunbi,27.5,92,378,a
9/13/2015 13:34,Goodels Goons,58.2,117.6,324,a
9/13/2015 13:34,Russell Wilsons Secret Stuff,32.9,101.4,378,b
9/13/2015 13:34,Urban Fervor,39,113.1,414,b
9/13/2015 13:34,The Fucking JFK Mystery Bullets,35.6,116.1,444,c
9/13/2015 13:34,Loafs n' Jugs,19,101,456,c
9/13/2015 13:34,12.5 PSI,15.3,95.1,492,d
9/13/2015 13:34,Pierre Paul's  Index Finger,40.9,111.9,378,d
9/13/2015 13:34,Cameron's Cuties,42.9,124.4,414,e
9/13/2015 13:34,The NFP Project,54.1,132.3,444,e
9/13/2015 13:34,Peter Pan's Poor Nanna,11.3,97,462,f
9/13/2015 13:34,Bill T. Sherm's Tank-A-Palooza,31.1,111.1,438,f
9/13/2015 13:39,Team Shokunbi,27.5,92,378,a
9/13/2015 13:39,Goodels Goons,62.2,120.7,317,a
9/13/2015 13:39,Russell Wilsons Secret Stuff,32.9,99.2,371,b
9/13/2015 13:39,Urban Fervor,38.9,113,414,b
9/13/2015 13:39,The Fucking JFK Mystery Bullets,35.6,116.1,444,c
9/13/2015 13:39,Loafs n' Jugs,19,101,456,c
9/13/2015 13:39,12.5 PSI,15.3,95.1,492,d
9/13/2015 13:39,Pierre Paul's  Index Finger,40.9,110.5,371,d
9/13/2015 13:39,Cameron's Cuties,42.8,123.6,407,e
9/13/2015 13:39,The NFP Project,54.1,130.5,437,e
9/13/2015 13:39,Peter Pan's Poor Nanna,11.1,94.3,448,f
9/13/2015 13:39,Bill T. Sherm's Tank-A-Palooza,31.1,111.1,438,f
9/13/2015 13:44,Team Shokunbi,27.5,90.1,364,a
9/13/2015 13:44,Goodels Goons,65.2,122.4,308,a
9/13/2015 13:44,Russell Wilsons Secret Stuff,33.5,97.1,362,b
9/13/2015 13:44,Urban Fervor,38.9,113,414,b
9/13/2015 13:44,The Fucking JFK Mystery Bullets,35.6,113.7,430,c
9/13/2015 13:44,Loafs n' Jugs,19,100.3,449,c
9/13/2015 13:44,12.5 PSI,13.6,91.9,478,d
9/13/2015 13:44,Pierre Paul's  Index Finger,40.9,110.1,369,d
9/13/2015 13:44,Cameron's Cuties,42.8,123.4,405,e
9/13/2015 13:44,The NFP Project,56.1,132,435,e
9/13/2015 13:44,Peter Pan's Poor Nanna,11.2,93.7,444,f
9/13/2015 13:44,Bill T. Sherm's Tank-A-Palooza,31.1,111.1,438,f
9/13/2015 13:49,Team Shokunbi,27.3,87.6,347,a
9/13/2015 13:49,Goodels Goons,65.2,121.9,305,a
9/13/2015 13:49,Russell Wilsons Secret Stuff,33.5,94.5,346,b
9/13/2015 13:49,Urban Fervor,38.9,112.2,407,b
9/13/2015 13:49,The Fucking JFK Mystery Bullets,36.2,109.7,405,c
9/13/2015 13:49,Loafs n' Jugs,19,100.2,447,c
9/13/2015 13:49,12.5 PSI,18,92.9,460,d
9/13/2015 13:49,Pierre Paul's  Index Finger,40.9,107.4,348,d
9/13/2015 13:49,Cameron's Cuties,43.9,122.7,390,e
9/13/2015 13:49,The NFP Project,56.1,129.9,413,e
9/13/2015 13:49,Peter Pan's Poor Nanna,11.9,92.8,435,f
9/13/2015 13:49,Bill T. Sherm's Tank-A-Palooza,34.8,109.2,411,f
9/13/2015 13:54,Team Shokunbi,28.8,86.5,335,a
9/13/2015 13:54,Goodels Goons,65.2,117.7,284,a
9/13/2015 13:54,Russell Wilsons Secret Stuff,33.8,92.8,333,b
9/13/2015 13:54,Urban Fervor,39.9,111,399,b
9/13/2015 13:54,The Fucking JFK Mystery Bullets,37.7,110,398,c
9/13/2015 13:54,Loafs n' Jugs,19,96,426,c
9/13/2015 13:54,12.5 PSI,18,91.1,448,d
9/13/2015 13:54,Pierre Paul's  Index Finger,39.1,103.6,335,d
9/13/2015 13:54,Cameron's Cuties,43.9,120.5,379,e
9/13/2015 13:54,The NFP Project,56.1,127.9,400,e
