"player","pos","pred_cost","ppg","pred_cost2"
"Jeremy Hill","RB",24.1126843442186,11.9512692307692,34.3126843442186
"Ryan Mathews","RB",22.130591221762,11.1978461538462,32.330591221762
"Michael Floyd","WR",22.0613601695474,10.8535538461538,28.9613601695474
"Jonathan Stewart","RB",23.1637200676187,11.7904384615385,33.3637200676187
"Donte Moncrief","WR",19.1006493698322,10.8798307692308,26.0006493698322
"Allen Hurns","WR",19.8509315055819,9.71767692307692,26.7509315055819
"Eric Decker","WR",22.9424786312456,11.6109615384615,29.8424786312456
"Tyrod Taylor","QB",19.8117941298705,20.4555615384615,34.2117941298705
"Frank Gore","RB",27.4494448881305,10.8710384615385,37.6494448881305
"Jay Ajayi","RB",16.9493269977461,7.03993076923077,27.1493269977461
"Larry Fitzgerald","WR",23.1563596020906,10.8075307692308,30.0563596020906
"Emmanuel Sanders","WR",23.8162167484071,10.6339538461538,30.7162167484071
"Chris Ivory","RB",23.0296147810951,8.82430769230769,33.2296147810951
"Tyler Eifert","TE",19.432744518574,8.31065384615385,25.432744518574
"Matt Ryan","QB",40.3045882366295,18.8885,54.7045882366295
"Melvin Gordon","RB",25.5935331126837,10.5458538461538,35.7935331126837
"Travis Kelce","TE",23.0845584920311,9.02340769230769,29.0845584920311
"Jordan Matthews","WR",25.2400768587878,10.3250384615385,32.1400768587878
"Ameer Abdullah","RB",19.5734035189367,10.6617384615385,29.7734035189367
"Duke Johnson","RB",18.4136759801423,9.97153846153846,28.6136759801423
"Delanie Walker","TE",19.4927920672795,9.63959230769231,25.4927920672795
"Coby Fleener","TE",16.4131970756075,9.2183,22.4131970756075
"Marcus Mariota","QB",19.017244598491,18.9962692307692,33.417244598491
"Giovani Bernard","RB",18.7779082714296,10.3411923076923,28.9779082714296
"John Brown","WR",16.5223301518514,10.3514538461538,23.4223301518514
"Tyler Lockett","WR",15.6181233594507,9.95395384615385,22.5181233594507
"DeVante Parker","WR",16.5448643649062,9.56954615384615,23.4448643649062
"Danny Woodhead","RB",19.7475180746454,10.1391615384615,29.9475180746454
"Justin Forsett","RB",18.1719564258701,9.46446923076923,28.3719564258701
"Arian Foster","RB",23.4184109036365,10.6413692307692,33.6184109036365
"Kevin White","WR",13.5235204697534,8.96706923076923,20.4235204697534
"Ryan Tannehill","QB",22.6750428310671,19.1604,37.0750428310671
"Rashad Jennings","RB",18.642640961803,10.6724846153846,28.842640961803
"DeSean Jackson","WR",18.4141789048898,9.74206153846154,25.3141789048898
"Marvin Jones","WR",14.4764825332374,9.11030769230769,21.3764825332374
"Ladarius Green","TE",12.9286014085248,6.95339230769231,18.9286014085248
"DeAngelo Williams","RB",17.1157410191486,8.41554615384615,27.3157410191486
"Michael Crabtree","WR",18.3907071613921,10.0735923076923,25.2907071613921
"T.J. Yeldon","RB",15.9651122638503,9.72734615384615,26.1651122638503
"Tevin Coleman","RB",15.0994446467758,6.27620769230769,25.2994446467758
"Sterling Shepard","WR",11.9630518561304,8.64143846153846,18.8630518561304
"Gary Barnidge","TE",11.7837226576413,8.2388,17.7837226576413
"Derrick Henry","RB",11.4464943309486,7.51065384615385,21.6464943309486
"Julius Thomas","TE",15.5577584878189,7.96678461538462,21.5577584878189
"Joe Flacco","QB",17.7198088483818,18.5539461538462,32.1198088483818
"Markus Wheaton","WR",16.113271395069,7.75572307692308,23.013271395069
"Stefon Diggs","WR",10.4461548869341,8.96961538461538,17.3461548869341
"Charles Sims","RB",12.4295869239772,8.84876923076923,22.6295869239772
"LeGarrette Blount","RB",14.9263984865019,8.96894615384615,25.1263984865019
"Jay Cutler","QB",21.2556131250902,18.0367076923077,35.6556131250902
"Steve Smith Sr.","WR",12.0664262480004,7.49148461538462,18.9664262480004
"Isaiah Crowell","RB",12.9788596272128,9.01816923076923,23.1788596272128
"Corey Coleman","WR",9.89785766077664,8.1221,16.7978576607766
"Torrey Smith","WR",16.0884932125739,9.24999230769231,22.9884932125739
"Jimmy Graham","TE",22.1583562884827,6.70083846153846,28.1583562884827
"Ryan Fitzpatrick","QB",12.5763301811043,19.7343153846154,26.9763301811043
"Brock Osweiler","QB",10.0921428463858,17.5462538461538,24.4921428463858
"Dorial Green-Beckham","WR",11.291257007536,6.39682307692308,18.191257007536
"Travis Benjamin","WR",9.99358846640568,7.8953,16.8935884664057
"Laquon Treadwell","WR",10.000699159305,7.45446923076923,16.900699159305
"Charcandrick West","RB",9.88406961076444,3.93711538461538,20.0840696107644
"Zach Ertz","TE",13.6330967033148,7.73616153846154,19.6330967033148
"Josh Gordon","WR",9.8774464610759,7.76153076923077,16.7774464610759
"Kenneth Dixon","RB",9.8576736979953,4.93783846153846,20.0576736979953
"Karlos Williams","RB",9.8576736979953,4.78419230769231,20.0576736979953
"Antonio Gates","TE",14.7655461800885,7.94115384615385,20.7655461800885
"Tavon Austin","WR",12.3708612252616,9.60256923076923,19.2708612252616
"Kamar Aiken","WR",9.21700049816681,7.30163846153846,16.1170004981668
"Willie Snead","WR",9.21700049816681,8.66608461538462,16.1170004981668
"Theo Riddick","RB",9.12348758509148,7.55998461538462,19.3234875850915
"CJ Prosise","RB",9.10849072572267,5.96076153846154,19.3084907257227
"Mohamed Sanu","WR",9.58988485152639,7.04656923076923,16.4898848515264
"Devin Funchess","WR",12.9008551008582,6.82407692307692,19.8008551008582
"Robert Griffin III","QB",16.4706839606233,14.6630153846154,30.8706839606233
"Chris Johnson","RB",16.3220333465214,4.76772307692308,26.5220333465214
"Vincent Jackson","WR",14.8972637465939,8.30170769230769,21.7972637465939
"Teddy Bridgewater","QB",16.6840064953801,16.2987,31.0840064953801
"James White","RB",8.83291631322101,2.33933846153846,19.032916313221
"Devontae Booker","RB",8.78606755068022,6.05966923076923,18.9860675506802
"Martellus Bennett","TE",14.5193716033121,7.55590769230769,20.5193716033121
"Jason Witten","TE",19.1914551346113,7.63123076923077,25.1914551346113
"Alex Smith","QB",12.7091093569261,19.4882384615385,27.1091093569261
"James Starks","RB",11.1729747362351,6.82909230769231,21.3729747362351
"Bilal Powell","RB",9.15710663739411,7.95783846153846,19.3571066373941
"DeAndre Washington","RB",8.26451616024726,5.23953846153846,18.4645161602473
"Victor Cruz","WR",15.5607589328587,4.65917692307692,22.4607589328587
"Spencer Ware","RB",8.24497848425308,5.10896923076923,18.4449784842531
"Dwayne Allen","TE",10.3841338891289,7.44768461538462,16.3841338891289
"Sam Bradford","QB",15.136151436676,14.0631846153846,29.536151436676
"Javorius Allen","RB",8.24229988465594,5.60291538461539,18.4422998846559
"Josh Doctson","WR",8.24229988465594,5.2237,15.1422998846559
"Mike Wallace","WR",16.014144856446,6.80641538461539,22.914144856446
"Alfred Morris","RB",17.191755746296,3.66236153846154,27.391755746296
"Christine Michael","RB",8.80751672728881,3.32589230769231,19.0075167272888
"Tyler Boyd","WR",8.24229988465594,6.07958461538461,15.1422998846559
"Darren Sproles","RB",12.6708202482186,7.36454615384615,22.8708202482186
"Darren McFadden","RB",15.3002982962667,4.63203846153846,25.5002982962667
"Jerick McKinnon","RB",9.71909727228239,5.99602307692308,19.9190972722824
"Michael Thomas","WR",8.19525750822709,6.89316923076923,15.0952575082271
"Rishard Matthews","WR",8.19525750822709,6.90921538461538,15.0952575082271
"Will Fuller","WR",8.19525750822709,5.95198461538462,15.0952575082271
"Chris Hogan","WR",8.19525750822709,5.27998461538462,15.0952575082271
"Zach Miller","TE",8.2570672215182,7.65750769230769,14.2570672215182
"Zach Miller","TE",8.2570672215182,0,14.2570672215182
