player_team,position,age,bye,standard_adp,standard_points,ppr_adp,ppr_points
Carson Palmer - ARI,QB,38,8,109.89,15.300814303268,149,17.121806275056
Robby Anderson - NYJ,WR,24,11,122.362,5.89212492588918,150,9.089157593439188
Justin Tucker - BAL,K,28,10,79.284,9.97243932092698,151,9.761566830773063
Wendell Smallwood - PHI,RB,23,10,158.18,3.45509330212668,152,4.686558761873125
Austin Hooper - ATL,TE,NA,5,115.268,5.37051409727769,153,8.355708906732687
Kendall Wright - CHI,WR,28,9,160.43,4.74706271325247,154,8.6575312574785
Stephen Gostkowski - NE,K,33,9,79.704,9.60659912587345,155,9.406884138430875
Jason Witten - DAL,TE,35,6,103.232,5.27126918290291,157,9.237566073363187
PIT D/ST,D/ST,NA,9,132.8067,6.54633212505664,158,5.488751376441407
Taylor Gabriel - ATL,WR,26,5,119.974,6.65144817794622,159,9.078034248529875
Kenny Golladay - DET,WR,24,7,114.414,4.73915590893501,160,7.571663937673687
Coby Fleener - NO,TE,29,5,114.312,5.33746857606837,161,8.712578554244812
Sterling Shepard - NYG,WR,NA,8,111.63,5.67374088699964,162,9.098754803028937
O.J. Howard - TB,TE,23,11,106.524,4.33690322120424,163,7.1985064712385
Latavius Murray - MIN,RB,27,9,94.662,5.90915513854889,164,7.360434861933125
DeAndre Washington - OAK,RB,24,10,120.8375,4.68108597577057,165,5.820297841552119
Matt Bryant - ATL,K,42,5,88.674,9.64158735890312,166,9.439241968435
Dion Lewis - NE,RB,27,9,115.83,4.77047174043656,167,6.615555100143813
Jay Cutler - MIA,QB,34,11,142.89,13.741819378113,168,14.387192345123063
Tyler Lockett - SEA,WR,25,6,114.864,6.41065315204664,169,9.171637475700624
Giovani Bernard - CIN,RB,26,6,106.7375,5.99998230002515,172,8.655043419500812
Charcandrick West - KC,RB,26,10,155.6567,4.32750732894894,173,5.7378874715770625
Wil Lutz - NO,K,23,5,148.0625,8.50693457281786,174,8.178960532382876
CAR D/ST,D/ST,NA,11,119.9733,7.00342688038061,175,6.0240519684439064
PHI D/ST,D/ST,NA,10,139.6167,6.72012233801541,176,5.659087311984862
Tyrod Taylor - BUF,QB,28,6,108.88,16.3561104619284,177,16.788679654530437
Mason Crosby - GB,K,33,8,105.082,8.78602954026058,178,8.482712412049063
Mohamed Sanu - ATL,WR,28,5,115.998,5.88156911486721,179,9.433167589356437
BAL D/ST,D/ST,NA,10,141.4867,6.356547349343,180,5.221642758687744
Dan Bailey - DAL,K,29,6,91.748,8.89338010734262,181,8.77733325009875
ATL D/ST,D/ST,NA,5,131.57,6.45375254870866,182,5.432094270674244
Adam Vinatieri - IND,K,45,11,104.544,8.82330279470571,183,8.473721259015438
Sebastian Janikowski - OAK,K,39,10,139.3675,8.49372321780292,184,8.217910087737875
