"","player","week","fantpt"
"285","Jerick McKinnon","1",0.1
"286","Rueben Randle","1",0.1
"287","Marcel Reece","1",0.1
"288","Luke Willson","1",0.1
"289","Isaiah Burse","1",NA
"290","Scott Wells","1",NA
"291","Bernard Pierce","1",-0.3
"292","Earl Thomas","1",-2
"293","Isa Abdul-Quddus","1",NA
"294","Husain Abdullah","1",NA
"295","John Abraham","1",NA
"296","Sam Acho","1",NA
"297","Davante Adams","1",NA
"298","Mike Adams","1",NA
"299","Mike Adams","1",NA
"300","Phillip Adams","1",NA
"301","Aaron Rodgers","2",28.6
"302","Antonio Gates","2",27.6
"303","Jordy Nelson","2",26.9
"304","Jay Cutler","2",25.5
"305","Philip Rivers","2",25.1
"306","Jimmy Graham","2",23.8
"307","Darren Sproles","2",23.8
"308","Giovani Bernard","2",22.9
"309","Brandon Marshall","2",22.8
"310","Knile Davis","2",22.5
"311","Ahmad Bradshaw","2",21.6
"312","Peyton Manning","2",21.6
"313","DeMarco Murray","2",21.3
"314","Arian Foster","2",21
"315","Alfred Morris","2",20.5
"316","Delanie Walker","2",20.2
"317","Cam Newton","2",19.1
"318","Andrew Luck","2",18.9
"319","Randall Cobb","2",18.5
"320","Kirk Cousins","2",17.9
"321","Russell Wilson","2",17.9
"322","Josh McCown","2",17.8
"323","Sammy Watkins","2",17.7
"324","Geno Smith","2",17.6
"325","Nick Foles","2",17.4
"326","Bobby Rainey","2",17.4
"327","Mark Ingram","2",16.4
"328","Mohamed Sanu","2",16.4
"329","Dez Bryant","2",16.3
"330","Derek Carr","2",16.3
"331","LeSean McCoy","2",16.2
"332","Stevan Ridley","2",16.1
"333","Niles Paul","2",15.9
"334","Drew Brees","2",15.8
"335","Jeremy Hill","2",15.6
"336","Eli Manning","2",15.6
"337","James Jones","2",15.2
"338","Julian Edelman","2",15
"339","Terrance West","2",15
"340","Joe Flacco","2",14.9
"341","Owen Daniels","2",14.8
"342","Julio Jones","2",14.8
"343","Andy Dalton","2",14.7
"344","Matt Asiata","2",14.4
"345","Alex Smith","2",14.4
"346","Matthew Stafford","2",14.4
"347","Michael Crabtree","2",14.2
"348","Ryan Fitzpatrick","2",13.6
"349","Frank Gore","2",13.5
"350","Marcedes Lewis","2",13.1
"351","Darren McFadden","2",12.8
"352","EJ Manuel","2",12.7
"353","Ryan Tannehill","2",12.7
"354","Eric Decker","2",12.3
"355","Colin Kaepernick","2",12.3
"356","Marshawn Lynch","2",12.3
"357","Brian Hoyer","2",12.2
"358","Demaryius Thomas","2",12.2
"359","Jonathan Stewart","2",11.9
"360","Mike Wallace","2",11.6
"361","Jason Avant","2",11.4
"362","Chad Henne","2",11.4
"363","Jonathan Dwyer","2",11.1
"364","Zac Stacy","2",11.1
"365","Tony Romo","2",11
"366","Le'Veon Bell","2",10.7
"367","Chris Ivory","2",10.7
"368","Emmanuel Sanders","2",10.6
"369","Jeremy Maclin","2",10.5
"370","Miles Austin","2",10.4
"371","Jake Locker","2",10.3
"372","Bernard Pierce","2",10.3
"373","Robert Turbin","2",10.2
"374","Andre Ellington","2",10.1
"375","Silas Redd","2",10.1
"376","Tom Brady","2",10
"377","Antonio Brown","2",10
