"year","player","pos","value","pick"
2014,"Bernard Pierce","RB",1,38
2010,"Bernard Scott","RB",2,53
2014,"Bishop Sankey","RB",5,27
2015,"Bishop Sankey","RB",1,41
2014,"Brandin Cooks","WR",13,30
2015,"Brandin Cooks","WR",37,10
2010,"Brandon Jacobs","RB",16,33
2011,"Brandon Jacobs","RB",4,35
2012,"Brandon Lloyd","WR",29,19
2010,"Brandon Marshall","WR",47,7
2011,"Brandon Marshall","WR",33,15
2012,"Brandon Marshall","WR",40,4
2013,"Brandon Marshall","WR",45,5
2014,"Brandon Marshall","WR",74,6
2015,"Brandon Marshall","WR",20,22
2013,"Brandon Myers","TE",8,14
2011,"Brandon Pettigrew","TE",12,14
2012,"Brandon Pettigrew","TE",27,7
2013,"Brandon Pettigrew","TE",1,16
2010,"Braylon Edwards","WR",9,40
2011,"Braylon Edwards","WR",3,43
2010,"Brent Celek","TE",18,6
2012,"Brent Celek","TE",1,17
2010,"Brett Favre","QB",40,11
2015,"Brian Quick","WR",3,44
2013,"Bryce Brown","RB",8,38
2010,"Calvin Johnson","WR",49,4
2011,"Calvin Johnson","WR",70,2
2013,"Calvin Johnson","WR",79,1
2014,"Calvin Johnson","WR",78,1
2015,"Calvin Johnson","WR",76,6
2011,"Cam Newton","QB",1,24
2014,"Carlos Hyde","RB",9,37
2010,"Carson Palmer","QB",6,14
2013,"Carson Palmer","QB",24,17
2014,"Carson Palmer","QB",23,18
2015,"Carson Palmer","QB",10,17
2014,"Cecil Shorts","WR",14,52
2010,"Cedric Benson","RB",46,14
2011,"Cedric Benson","RB",19,27
2012,"Cedric Benson","RB",7,25
2010,"Chad Henne","QB",8,18
2010,"Chad Johnson","WR",28,17
2011,"Chad Johnson","WR",29,19
2014,"Charles Clay","TE",1,16
2015,"Charles Johnson","WR",21,29
2015,"Charles Sims","RB",1,56
2010,"Chester Taylor","RB",1,47
2010,"Chris Cooley","TE",10,9
2011,"Chris Cooley","TE",1,20
2013,"Chris Givens","WR",3,37
2013,"Chris Ivory","RB",16,31
2014,"Chris Ivory","RB",1,51
2015,"Chris Ivory","RB",16,21
2010,"Chris Johnson","RB",114,1
2011,"Chris Johnson","RB",95,4
2012,"Chris Johnson","RB",74,5
2013,"Chris Johnson","RB",60,13
2014,"Chris Johnson","RB",7,26
2013,"Christine Michael","RB",1,48
2010,"C.J. Spiller","RB",17,25
2011,"C.J. Spiller","RB",1,43
2012,"C.J. Spiller","RB",10,40
2013,"C.J. Spiller","RB",96,5
2014,"C.J. Spiller","RB",35,20
2015,"C.J. Spiller","RB",6,29
2010,"Clinton Portis","RB",1,36
2012,"Coby Fleener","TE",1,16
2015,"Cody Latimer","WR",1,60
2015,"Colin Kaepernick","QB",31,19
2011,"Colt McCoy","QB",10,21
2014,"Cordarrelle Patterson","WR",30,12
2010,"Dallas Clark","TE",22,1
2011,"Dallas Clark","TE",30,4
2011,"Daniel Thomas","RB",20,34
2012,"Daniel Thomas","RB",4,46
2011,"Danny Amendola","WR",2,38
2013,"Danny Amendola","WR",18,13
2014,"Danny Amendola","WR",4,49
2011,"Danny Woodhead","RB",3,45.5
2014,"Danny Woodhead","RB",2,39
2015,"Danny Woodhead","RB",1,39
2010,"Darren McFadden","RB",8,42
2012,"Darren McFadden","RB",48,4
2013,"Darren McFadden","RB",35,23
2014,"Darren McFadden","RB",1,46
2015,"Darren McFadden","RB",5,34
2010,"Darren Sproles","RB",1,43
2012,"Darren Sproles","RB",26,17
2013,"Darren Sproles","RB",31,22
2014,"Darren Sproles","RB",1,33
2012,"Darrius Heyward-Bey","WR",3,36
2013,"Darrius Heyward-Bey","WR",1,51
2013,"Daryl Richardson","RB",20,25
2015,"Davante Adams","WR",42,15
2010,"David Garrard","QB",2,27
2015,"David Johnson","RB",1,47
2012,"David Wilson","RB",6,29
2013,"DeAndre Hopkins","WR",2,42
2014,"DeAndre Hopkins","WR",5,47
2015,"DeAndre Hopkins","WR",42,14
2010,"DeAngelo Williams","RB",53,10
2011,"DeAngelo Williams","RB",40,23
2012,"DeAngelo Williams","RB",8,31
