"","year","owner","player","team","pos","value","keeper"
"167","2010","Skrzyskewski","Mike Wallace","Pit"," WR",22,0
"168","2010","Skrzyskewski","Steve Breaston","Ari"," WR",11,0
"169","2010","Skrzyskewski","Brent Celek","Phi"," TE",18,0
"170","2010","Skrzyskewski","Jerome Harrison","Phi"," RB",11,0
"171","2010","Skrzyskewski","C.J. Spiller","Buf"," RB",17,0
"172","2010","Skrzyskewski","Owen Daniels","Hou"," TE",11,0
"173","2010","Skrzyskewski","David Akers","Phi"," K",2,0
"174","2010","Skrzyskewski","Saints D/ST","NO"," D/",1,0
"175","2010","Skrzyskewski","Tarvaris Jackson","Min"," QB",1,0
"176","2010","Skrzyskewski","Redskins Coach","Was"," HC",1,0
"177","2010","Olson","Adrian Peterson","Min"," RB",107,0
"178","2010","Olson","Ryan Grant","GB"," RB",49,0
"179","2010","Olson","Beanie Wells","Ari"," RB",40,0
"180","2010","Olson","Matt Schaub","Hou"," QB",36,0
"181","2010","Olson","Vincent Jackson","SD"," WR",29,0
"182","2010","Olson","T.J. Houshmandzadeh","Bal"," WR",8,0
"183","2010","Olson","Marion Barber","Dal"," RB",11,0
"184","2010","Olson","Bernard Scott","Cin"," RB",2,0
"185","2010","Olson","Darren McFadden","Oak"," RB",8,0
"186","2010","Olson","Eagles D/ST","Phi"," D/",2,0
"187","2010","Olson","Antonio Bryant","FA"," WR",1,0
"188","2010","Olson","Rob Bironas","Ten"," K",2,0
"189","2010","Olson","Vince Young","Ten"," QB",2,0
"190","2010","Olson","Chester Taylor","Chi"," RB",1,0
"191","2010","Olson","Kevin Boss","NYG"," TE",1,0
"192","2010","Olson","Vikings Coach","Min"," HC",1,0
"193","2011","Hartman","Michael Vick","Phi"," QB",8,1
"194","2011","Hartman","Peyton Hillis","Cle"," RB",7,1
"195","2011","Hartman","Bengals Coach","Cin"," HC",1,0
"196","2011","Hartman","Larry Fitzgerald","Ari"," WR",92,0
"197","2011","Hartman","Kevin Kolb","Ari"," QB",18,0
"198","2011","Hartman","DeSean Jackson","Phi"," WR",37,0
"199","2011","Hartman","Packers D/ST","GB"," D/",5,0
"200","2011","Hartman","Owen Daniels","Hou"," TE",10,0
"201","2011","Hartman","Jason Witten","Dal"," TE",15,0
"202","2011","Hartman","BenJarvus Green-Ellis","NE"," RB",23,0
"203","2011","Hartman","A.J. Green","Cin"," WR",11,0
"204","2011","Hartman","Santana Moss","Wsh"," WR",12,0
"205","2011","Hartman","Terrell Owens","FA"," WR",2,0
"206","2011","Hartman","Shonn Greene","NYJ"," RB",44,0
"207","2011","Hartman","Matt Hasselbeck","Ten"," QB",3,0
"208","2011","Hartman","Stephen Gostkowski","NE"," K",12,0
"209","2011","Kane","Matt Ryan","Atl"," QB",23,1
"210","2011","Kane","Darren McFadden","Oak"," RB",15,1
"211","2011","Kane","Bears Coach","Chi"," HC",1,0
"212","2011","Kane","Andre Johnson","Hou"," WR",71,0
"213","2011","Kane","Drew Brees","NO"," QB",76,0
"214","2011","Kane","DeAngelo Williams","Car"," RB",40,0
"215","2011","Kane","Johnny Knox","Chi"," WR",11,0
"216","2011","Kane","Austin Collie","Ind"," WR",17,0
"217","2011","Kane","Michael Crabtree","SF"," WR",15,0
"218","2011","Kane","Mark Ingram","NO"," RB",23,0
"219","2011","Kane","Danny Amendola","StL"," WR",2,0
"220","2011","Kane","Willis McGahee","Den"," RB",1,0
"221","2011","Kane","Jerome Harrison","Det"," RB",2,0
"222","2011","Kane","Saints D/ST","NO"," D/",1,0
"223","2011","Kane","Alex Henery","Phi"," K",1,0
"224","2011","Kane","Chris Cooley","Wsh"," TE",1,0
"225","2011","Harrington","Malcom Floyd","SD"," WR",7,1
"226","2011","Harrington","Tom Brady","NE"," QB",84,1
"227","2011","Harrington","Chris Johnson","Ten"," RB",95,0
"228","2011","Harrington","Saints Coach","NO"," HC",1,0
"229","2011","Harrington","Michael Turner","Atl"," RB",72,0
"230","2011","Harrington","Percy Harvin","Min"," WR",26,0
"231","2011","Harrington","Jason Campbell","Oak"," QB",3,0
"232","2011","Harrington","Eddie Royal","Den"," WR",1,0
"233","2011","Harrington","Lance Moore","NO"," WR",4,0
"234","2011","Harrington","Cam Newton","Car"," QB",1,0
"235","2011","Harrington","Donald Driver","GB"," WR",1,0
"236","2011","Harrington","Rob Gronkowski","NE"," TE",1,0
"237","2011","Harrington","Patriots D/ST","NE"," D/",1,0
"238","2011","Harrington","Deion Branch","NE"," WR",1,0
"239","2011","Harrington","Davone Bess","Mia"," WR",1,0
"240","2011","Harrington","Adam Vinatieri","Ind"," K",1,0
"241","2011","Higdon","Brandon Lloyd","StL"," WR",7,1
"242","2011","Higdon","Chargers Coach","SD"," HC",1,0
"243","2011","Higdon","Neil Rackers","Hou"," K",2,0
"244","2011","Higdon","Philip Rivers","SD"," QB",68,0
"245","2011","Higdon","Matt Schaub","Hou"," QB",64,0
"246","2011","Higdon","Kellen Winslow","TB"," TE",4,0
"247","2011","Higdon","Dwayne Bowe","KC"," WR",41,0
"248","2011","Higdon","Brandon Jacobs","NYG"," RB",4,0
"249","2011","Higdon","Steelers D/ST","Pit"," D/",7,0
"250","2011","Higdon","Marcedes Lewis","Jac"," TE",7,0
"251","2011","Higdon","Pierre Garcon","Ind"," WR",18,0
"252","2011","Higdon","Julio Jones","Atl"," WR",16,0
"253","2011","Higdon","Braylon Edwards","SF"," WR",3,0
"254","2011","Higdon","Fred Jackson","Buf"," RB",20,0
"255","2011","Higdon","Mike Tolbert","SD"," RB",18,0
"256","2011","Higdon","Joseph Addai","Ind"," RB",19,0
"257","2011","Regan","Aaron Rodgers","GB"," QB",93,1
"258","2011","Regan","Mike Williams","TB"," WR",8,1
"259","2011","Regan","Packers Coach","GB"," HC",3,0
"260","2011","Regan","Steven Jackson","StL"," RB",52,0
"261","2011","Regan","Marques Colston","NO"," WR",28,0
"262","2011","Regan","Ryan Mathews","SD"," RB",25,0
"263","2011","Regan","Anquan Boldin","Bal"," WR",28,0
"264","2011","Regan","Dallas Clark","Ind"," TE",30,0
"265","2011","Regan","Marshawn Lynch","Sea"," RB",20,0
"266","2011","Regan","Pierre Thomas","NO"," RB",2,0
"267","2011","Regan","Mason Crosby","GB"," K",1,0
"268","2011","Regan","LaDainian Tomlinson","NYJ"," RB",2,0
"269","2011","Regan","Chargers D/ST","SD"," D/",1,0
"270","2011","Regan","Nate Burleson","Det"," WR",3,0
"271","2011","Regan","Thomas Jones","KC"," RB",2,0
"272","2011","Regan","Ronnie Brown","Phi"," RB",1,0
"273","2011","Shokunbi","Arian Foster","Hou"," RB",9,1
"274","2011","Shokunbi","Mike Wallace","Pit"," WR",22,1
"275","2011","Shokunbi","Nate Kaeding","SD"," K",1,0
"276","2011","Shokunbi","Tony Romo","Dal"," QB",40,0
"277","2011","Shokunbi","Eli Manning","NYG"," QB",42,0
"278","2011","Shokunbi","Colt McCoy","Cle"," QB",10,0
"279","2011","Shokunbi","LeGarrette Blount","TB"," RB",35,0
"280","2011","Shokunbi","Ravens D/ST","Bal"," D/",2,0
"281","2011","Shokunbi","Steve Johnson","Buf"," WR",44,0
"282","2011","Shokunbi","Chad Ochocinco","NE"," WR",29,0
"283","2011","Shokunbi","Matthew Stafford","Det"," QB",33,0
"284","2011","Shokunbi","Lee Evans","Bal"," WR",6,0
"285","2011","Shokunbi","Ryan Grant","GB"," RB",20,0
"286","2011","Shokunbi","Jets Coach","NYJ"," HC",1,0
"287","2011","Shokunbi","Dustin Keller","NYJ"," TE",1,0
"288","2011","Shokunbi","Rashad Jennings","Jac"," RB",1,0
"289","2011","McShane","Jahvid Best","Det"," RB",6,1
"290","2011","McShane","Sam Bradford","StL"," QB",1,1
"291","2011","McShane","Steelers Coach","Pit"," HC",15,0
"292","2011","McShane","Matt Forte","Chi"," RB",41,0
"293","2011","McShane","Frank Gore","SF"," RB",62,0
"294","2011","McShane","Vincent Jackson","SD"," WR",55,0
"295","2011","McShane","Eagles D/ST","Phi"," D/",3,0
"296","2011","McShane","Dez Bryant","Dal"," WR",46,0
"297","2011","McShane","Jonathan Stewart","Car"," RB",10,0
"298","2011","McShane","Vernon Davis","SF"," TE",17,0
"299","2011","McShane","Mark Sanchez","NYJ"," QB",12,0
"300","2011","McShane","Steve Smith","Car"," WR",14,0
"301","2011","McShane","Zach Miller","Sea"," TE",2,0
"302","2011","McShane","James Starks","GB"," RB",10,0
"303","2011","McShane","Ryan Torain","Wsh"," RB",4,0
"304","2011","McShane","Josh Brown","StL"," K",1,0
"305","2011","Thieneman","Wes Welker","NE"," WR",26,1
"306","2011","Thieneman","Patriots Coach","NE"," HC",3,1
"307","2011","Thieneman","Peyton Manning","Ind"," QB",72,0
"308","2011","Thieneman","Maurice Jones-Drew","Jac"," RB",79,0
"309","2011","Thieneman","James Jones","GB"," WR",7,0
"310","2011","Thieneman","Donovan McNabb","FA"," QB",13,0
"311","2011","Thieneman","Jermichael Finley","GB"," TE",31,0
"312","2011","Thieneman","Brandon Marshall","Mia"," WR",33,0
"313","2011","Thieneman","Plaxico Burress","NYJ"," WR",26,0
"314","2011","Thieneman","Colts D/ST","Ind"," D/",3,0
"315","2011","Thieneman","Montario Hardesty","Cle"," RB",2,0
"316","2011","Thieneman","C.J. Spiller","Buf"," RB",1,0
"317","2011","Thieneman","Ricky Williams","Bal"," RB",1,0
"318","2011","Thieneman","Jerome Simpson","Cin"," WR",1,0
"319","2011","Thieneman","Mike Williams","Sea"," WR",1,0
"320","2011","Thieneman","Nick Folk","NYJ"," K",1,0
"321","2011","Matovina","Ben Roethlisberger","Pit"," QB",7,1
"322","2011","Matovina","Matt Cassel","KC"," QB",1,1
"323","2011","Matovina","Broncos Coach","Den"," HC",15,0
"324","2011","Matovina","Rashard Mendenhall","Pit"," RB",72,0
"325","2011","Matovina","Kyle Orton","KC"," QB",10,0
"326","2011","Matovina","Antonio Gates","SD"," TE",41,0
"327","2011","Matovina","Jeremy Maclin","Phi"," WR",18,0
"328","2011","Matovina","Felix Jones","Dal"," RB",24,0
"329","2011","Matovina","Reggie Wayne","Ind"," WR",51,0
"330","2011","Matovina","Knowshon Moreno","Den"," RB",30,0
"331","2011","Matovina","Rob Bironas","Ten"," K",7,0
"332","2011","Matovina","Roy Williams","Chi"," WR",6,0
"333","2011","Matovina","Jets D/ST","NYJ"," D/",1,0
"334","2011","Matovina","Robert Meachem","NO"," WR",7,0
"335","2011","Matovina","Jacoby Ford","Oak"," WR",6,0
"336","2011","Matovina","Tiki Barber","FA"," RB",4,0
"337","2011","Ready","Greg Jennings","GB"," WR",35,1
"338","2011","Ready","LeSean McCoy","Phi"," RB",35,1
"339","2011","Ready","Adrian Peterson","Min"," RB",102,0
"340","2011","Ready","Jay Cutler","Chi"," QB",11,0
"341","2011","Ready","Calvin Johnson","Det"," WR",70,0
"342","2011","Ready","David Garrard","FA"," QB",3,0
"343","2011","Ready","Sidney Rice","Sea"," WR",13,0
"344","2011","Ready","Danny Woodhead","NE"," RB",3,0
"345","2011","Ready","Tony Gonzalez","Atl"," TE",6,0
"346","2011","Ready","Reggie Bush","Mia"," RB",2,0
"347","2011","Ready","Mike Sims-Walker","FA"," WR",5,0
"348","2011","Ready","Hines Ward","Pit"," WR",4,0
"349","2011","Ready","Titus Young","Det"," WR",2,0
"350","2011","Ready","Lions D/ST","Det"," D/",7,0
"351","2011","Ready","Billy Cundiff","Bal"," K",1,0
"352","2011","Ready","Falcons Coach","Atl"," HC",1,0
"353","2011","Skrzyskewski","Jamaal Charles","KC"," RB",35,1
"354","2011","Skrzyskewski","Josh Freeman","TB"," QB",7,1
"355","2011","Skrzyskewski","Lions Coach","Det"," HC",1,0
"356","2011","Skrzyskewski","Roddy White","Atl"," WR",60,0
"357","2011","Skrzyskewski","Kenny Britt","Ten"," WR",25,0
"358","2011","Skrzyskewski","Beanie Wells","Ari"," RB",25,0
"359","2011","Skrzyskewski","Mario Manningham","NYG"," WR",40,0
"360","2011","Skrzyskewski","Greg Little","Cle"," WR",5,0
"361","2011","Skrzyskewski","Mike Thomas","Jac"," WR",20,0
"362","2011","Skrzyskewski","Tarvaris Jackson","Sea"," QB",1,0
"363","2011","Skrzyskewski","Jimmy Graham","NO"," TE",13,0
"364","2011","Skrzyskewski","Tim Hightower","Wsh"," RB",29,0
"365","2011","Skrzyskewski","Brandon Pettigrew","Det"," TE",12,0
"366","2011","Skrzyskewski","Michael Bush","Oak"," RB",10,0
"367","2011","Skrzyskewski","Garrett Hartley","NO"," K",1,0
"368","2011","Skrzyskewski","Bears D/ST","Chi"," D/",16,0
"369","2011","Olson","Ahmad Bradshaw","NYG"," RB",1,1
"370","2011","Olson","Hakeem Nicks","NYG"," WR",22,1
"371","2011","Olson","Eagles Coach","Phi"," HC",15,0
"372","2011","Olson","Ray Rice","Bal"," RB",99,0
"373","2011","Olson","Santonio Holmes","NYJ"," WR",23,0
"374","2011","Olson","Joe Flacco","Bal"," QB",42,0
"375","2011","Olson","Miles Austin","Dal"," WR",39,0
"376","2011","Olson","Ryan Fitzpatrick","Buf"," QB",2,0
"377","2011","Olson","Cedric Benson","Cin"," RB",19,0
"378","2011","Olson","Falcons D/ST","Atl"," D/",1,0
"379","2011","Olson","Jordy Nelson","GB"," WR",5,0
"380","2011","Olson","Daniel Thomas","Mia"," RB",20,0
"381","2011","Olson","Greg Olsen","Car"," TE",5,0
"382","2011","Olson","Matt Bryant","Atl"," K",1,0
"383","2011","Olson","Antonio Brown","Pit"," WR",3,0
"384","2011","Olson","Andre Roberts","Ari"," WR",1,0
"385","2012","Hartman","Michael Vick","Phi"," QB",15,1
"386","2012","Hartman","A.J. Green","Cin"," WR",18,1
"387","2012","Hartman","Ray Rice","Bal"," RB",107,0
"388","2012","Hartman","Mike Wallace","Pit"," WR",46,0
"389","2012","Hartman","Jimmy Graham","NO"," TE",35,0
"390","2012","Hartman","Antonio Gates","SD"," TE",21,0
"391","2012","Hartman","Eric Decker","Den"," WR",21,0
"392","2012","Hartman","BenJarvus Green-Ellis","Cin"," RB",22,0
"393","2012","Hartman","Carson Palmer","Oak"," QB",8,0
"394","2012","Hartman","Bills D/ST","Buf"," D/",1,0
"395","2012","Hartman","Robbie Gould","Chi"," K",1,0
"396","2012","Hartman","Darvin Adams","FA"," WR",1,0
"397","2012","Hartman","Royce Adams","NYJ"," WR",1,0
"398","2012","Hartman","Joe Adams","Car"," WR",1,0
"399","2012","Hartman","Bengals Coach","Cin"," HC",1,0
"400","2012","Hartman","Anthony Allen","Bal"," RB",1,0
"401","2012","Kane","Ryan Mathews","SD"," RB",35,0
"402","2012","Kane","Peyton Manning","Den"," QB",63,0
"403","2012","Kane","Philip Rivers","SD"," QB",72,0
"404","2012","Kane","Michael Turner","Atl"," RB",30,0
"405","2012","Kane","Victor Cruz","NYG"," WR",36,0
"406","2012","Kane","Jonathan Stewart","Car"," RB",20,0
"407","2012","Kane","Lance Moore","NO"," WR",15,0
"408","2012","Kane","Jacob Tamme","Den"," TE",7,0
"409","2012","Kane","Sidney Rice","Sea"," WR",10,0
"410","2012","Kane","Seahawks D/ST","Sea"," D/",3,0
"411","2012","Kane","Shane Vereen","NE"," RB",3,0
"412","2012","Kane","Falcons D/ST","Atl"," D/",2,0
"413","2012","Kane","Bernard Scott","Cin"," RB",1,0
"414","2012","Kane","Laurent Robinson","Jac"," WR",1,0
"415","2012","Kane","Matt Bryant","Atl"," K",1,0
"416","2012","Kane","49ers Coach","SF"," HC",1,0
"417","2012","Harrington","Cam Newton","Car"," QB",8,1
"418","2012","Harrington","Rob Gronkowski","NE"," TE",8,1
"419","2012","Harrington","Tom Brady","NE"," QB",108,0
"420","2012","Harrington","Brandon Lloyd","NE"," WR",29,0
"421","2012","Harrington","Frank Gore","SF"," RB",29,0
"422","2012","Harrington","Roy Helu","Wsh"," RB",8,0
"423","2012","Harrington","DeSean Jackson","Phi"," WR",37,0
"424","2012","Harrington","Kevin Kolb","Ari"," QB",3,0
"425","2012","Harrington","Anquan Boldin","Bal"," WR",18,0
"426","2012","Harrington","C.J. Spiller","Buf"," RB",10,0
"427","2012","Harrington","Isaac Redman","Pit"," RB",9,0
"428","2012","Harrington","Toby Gerhart","Min"," RB",7,0
"429","2012","Harrington","Cedric Benson","GB"," RB",7,0
"430","2012","Harrington","Garrett Hartley","NO"," K",1,0
"431","2012","Harrington","Chiefs D/ST","KC"," D/",1,0
"432","2012","Harrington","Texans Coach","Hou"," HC",1,0
"433","2012","Higdon","Julio Jones","Atl"," WR",23,1
"434","2012","Higdon","Marshawn Lynch","Sea"," RB",30,1
"435","2012","Higdon","Drew Brees","NO"," QB",102,0
"436","2012","Higdon","Vernon Davis","SF"," TE",24,0
"437","2012","Higdon","Matt Schaub","Hou"," QB",35,0
