"X","year","name","pos","team","overall","pick"
453,2012,"Cedric Benson","RB","GB",57.2,25
454,2012,"Demaryius Thomas","WR","DEN",58,22
455,2012,"Torrey Smith","WR","BAL",61.8,23
456,2012,"Peyton Hillis","RB","NYG",62.4,26
457,2012,"Tony Romo","QB","DAL",62.6,10
458,2012,"Jeremy Maclin","WR","PHI",62.7,24
459,2012,"Jermichael Finley","TE","GB",63.1,6
460,2012,"Dwayne Bowe","WR","KC",63.7,25
461,2012,"Steve Johnson","WR","SF",66.3,26
462,2012,"Vincent Jackson","WR","TB",67.8,27
463,2012,"Donald Brown","RB","SD",67.9,27
464,2012,"Shonn Greene","RB","TEN",69.7,28
465,2012,"Miles Austin","WR","CLE",71.1,28
466,2012,"Reggie Wayne","WR","IND",72.9,29
467,2012,"Philip Rivers","QB","SD",73.1,11
468,2012,"Brandon Pettigrew","TE","DET",73.2,7
469,2012,"David Wilson","RB","NYG",73.9,29
470,2012,"Kevin Smith","RB","DET",75,30
471,2012,"Pierre Garcon","WR","WAS",75.6,30
472,2012,"DeAngelo Williams","RB","CAR",76.2,31
473,2012,"Kenny Britt","WR","STL",76.8,31
474,2012,"Jason Witten","TE","DAL",79,8
475,2012,"Justin Blackmon","WR","JAC",80.5,32
476,2012,"Ben Tate","RB","CLE",80.5,32
477,2012,"Jay Cutler","QB","CHI",80.8,12
478,2012,"Titus Young","WR","FA",82,33
479,2012,"Ryan Williams","RB","DAL",83.2,33
480,2012,"Isaac Redman","RB","PIT",85.6,34
481,2012,"Beanie Wells","RB","FA",87.2,35
482,2012,"Fred Davis","TE","FA",87.9,9
483,2012,"Mark Ingram","RB","NO",88,36
484,2012,"San Francisco Defense","DEF","SF",88.8,1
485,2012,"Anquan Boldin","WR","SF",89.8,34
486,2012,"Tony Gonzalez","TE","ATL",90.4,10
487,2012,"Malcom Floyd","WR","SD",92.1,35
488,2012,"Ben Roethlisberger","QB","PIT",92.6,13
489,2012,"Michael Bush","RB","FA",94,37
490,2012,"Robert Griffin III","QB","WAS",94.9,14
491,2012,"Jonathan Stewart","RB","CAR",95.1,38
492,2012,"Darrius Heyward-Bey","WR","PIT",95.4,36
493,2012,"Lance Moore","WR","PIT",95.5,37
494,2012,"Roy Helu","RB","WAS",97.3,39
495,2012,"C.J. Spiller","RB","BUF",98.6,40
496,2012,"Matt Schaub","QB","OAK",100.9,15
497,2012,"Jacquizz Rodgers","RB","ATL",101.6,41
498,2012,"Nate Washington","WR","TEN",102.3,38
499,2012,"Toby Gerhart","RB","JAC",103.3,42
