"player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost"
"Jeremy Langford","RB",54.2,5.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3555781855826
"Jeremy Maclin","WR",60.6,6.01,18,27,NA,24,25,41.3,65.3,NA,62.7,62.4,12,13,NA,30,18,27.5799747440793
"Jerick McKinnon","RB",156.2,13.12,57,NA,NA,NA,NA,152.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.71909727228239
"Jimmy Graham","TE",119,10.11,2,1,1,1,6,32,8.2,22.6,13.3,65,40,69,41,35,13,22.1583562884827
"Joe Flacco","QB",108.2,9.12,18,NA,20,17,16,142.7,NA,139.2,115.1,112.1,20,22,33,31,42,17.7198088483818
"John Brown","WR",86.3,8.02,32,NA,NA,NA,NA,74,NA,NA,NA,NA,5,NA,NA,NA,NA,16.5223301518514
"Jonathan Stewart","RB",66.1,6.06,24,52,NA,38,37,48,142.2,NA,95.1,93.5,16,NA,NA,20,10,23.1637200676187
"Jordan Howard","RB",162.9,14.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709
"Jordan Matthews","WR",79,7.07,11.5,50,NA,NA,NA,27.8,124.7,NA,NA,NA,37,NA,NA,NA,NA,25.2400768587878
"Jordan Reed","TE",50.1,5.02,NA,8,NA,NA,NA,NA,83.2,NA,NA,NA,NA,1,NA,NA,NA,29.7492605181949
"Jordy Nelson","WR",20.6,2.09,NA,7,19,11,47,NA,20.3,51,34.7,121.9,1,NA,26,NA,5,59.1601800322668
"Josh Doctson","WR",154.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.24229988465594
"Josh Gordon","WR",127.5,11.08,NA,NA,34,NA,NA,NA,NA,86.1,NA,NA,NA,NA,5,NA,NA,9.8774464610759
"Julian Edelman","WR",51,5.03,24,26,63,NA,NA,55.1,62.4,161.5,NA,NA,24,19,NA,NA,NA,31.1913288184582
"Julio Jones","WR",5.2,1.05,3,5,4,2,26,9,15.1,21.8,14.9,68.9,NA,NA,NA,NA,16,88.3797699583417
"Julius Thomas","TE",107.6,9.12,12,2,NA,NA,NA,125,26.6,NA,NA,NA,NA,NA,NA,NA,NA,15.5577584878189
