playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
2506467,null,Darren Sproles,RB,PHI,RB,PHI,-38.7079,95.7391,null,162,196,43,null,null,3.6571,141.6583,54.3417,1.6675,103.2879,88.6,4.0708,5
71265,null,Jared Cook,TE,GB,TE,GB,-39.1329,71.6828,null,181,197,22,null,null,0.5634,160.916,36.084,1.365,93.4417,45.361,5.1863,5
2495267,null,Jordan Cameron,TE,MIA,TE,MIA,-39.6012,71.2145,null,168,198,23,null,null,1.2405,149.795,48.205,0.765,85.5494,50.9,5.9483,7
2553830,null,Will Tye,TE,NYG,TE,NYG,-39.7915,71.0242,null,189,199,24,null,null,3.1313,177.54,21.46,0.7933,86.6932,56.976,6.1205,6
2540169,null,Robert Woods,WR,BUF,WR,BUF,-39.8458,83.3167,null,200,200,62,null,null,1.5408,193.3733,6.6267,0.71,98.6189,72.0935,5.0142,26
2552491,null,Dorial Green-Beckham,WR,TEN,WR,TEN,-40.0038,83.1587,null,132,201,63,null,null,3.1721,124.3733,76.6267,2.88,97.9445,65.4677,6.0814,12
100012,null,Titans,DST,TEN,DST,TEN,-40.3744,96.4319,null,272,202,24,null,null,0.8125,160.29,41.71,0.4533,109.7827,65.6,6.8726,4
2504257,null,Sebastian Janikowski,K,OAK,K,OAK,-40.476,114.6181,null,null,203,23,null,null,1.3456,151.708,51.292,0.9425,126.1689,99.2772,4.6273,16
100005,null,Bears,DST,CHI,DST,CHI,-40.6574,96.1489,null,309,204,25,null,null,1.3753,160.08,43.92,1.7967,106.527,86.1,5.292,15
2553112,null,Jason Myers,K,JAC,K,JAC,-41.0327,114.0613,null,null,205,24,null,null,4.1837,160.275,44.725,0.45,121.0848,102.0536,4.7809,14
100019,null,Dolphins,DST,MIA,DST,MIA,-41.7165,95.0898,null,264,206,26,null,null,0.8922,159.805,46.195,1.1267,101.7922,73.6,5.9753,11
2495473,null,Shane Vereen,RB,NYG,RB,NYG,-41.8022,92.6448,null,159,207,44,null,null,2.4961,161.3875,45.6125,1.04,96.7072,83.3761,3.8268,16
2506122,null,Benjamin Watson,TE,BAL,TE,BAL,-41.8918,68.9239,null,192,208,25,null,null,3.657,163.8075,44.1925,1.05,86.6123,34.6,7.8186,1
