"player_team","position","ppr_points","ppr_adp","standard_points","standard_adp"
"Javorius Allen - BAL","RB",7.67204615384615,"164.32",5.60291538461539,"146.4375"
"Devontae Booker - DEN","RB",7.60294615384615,"142.66",6.05966923076923,"128.06"
"Davante Adams - GB","WR",7.80598461538462,"176.3",4.77903846153846,"176.6667"
"Jace Amaro - NYJ","TE",7.28464615384615,"234.68",4.53846153846154,"183.75"
"Jordan Howard - CHI","RB",7.37391538461539,"154.35",6.17484615384615,"141.4367"
"Seth Roberts - OAK","WR",7.69792307692308,"245.87",5.0673,"160.435"
"DeAndre Washington - OAK","RB",7.25496923076923,"133.71",5.23953846153846,"140.102"
"Tim Hightower - NO","RB",7.21596153846154,"182.245",5.60016923076923,"169.032"
"Breshad Perriman - BAL","WR",7.56564615384615,"160.47",4.67377692307692,"152.94"
"Albert Wilson - KC","WR",7.55396153846154,"null",4.88043846153846,"160.455"
"Benny Cunningham - LA","RB",7.16906923076923,"248.92",4.4399,"150.93"
"Eddie Royal - CHI","WR",7.52213846153846,"null",4.40366923076923,"160.45"
"Richard Rodgers - GB","TE",7.01726923076923,"205.93",4.33093076923077,"160.52"
"Justin Hardy - ATL","WR",7.49395384615385,"234.25",4.20629230769231,"160.395"
"Jeff Heuerman - DEN","TE",6.95151538461538,"243.69",4.34636153846154,"160.48"
"James Jones - FA","WR",7.30769230769231,"null",4.63846153846154,"136.89"
"Lance Kendricks - LA","TE",6.79459230769231,"null",4.0895,"160.48"
"Cameron Brate - TB","TE",6.75589230769231,"217.28",4.53225384615385,"160.445"
"Sam Bradford - PHI","QB",15.5170307692308,"175.21",14.0631846153846,"191.7933"
"C.J. Spiller - NO","RB",6.79011538461538,"227.21",4.26453846153846,"170.9333"
"Robert Griffin - CLE","QB",15.4707076923077,"169.92",14.6630153846154,"165.79"
"Victor Cruz - NYG","WR",7.1341,"168.89",4.65917692307692,"148.82"
"Quinton Patton - SF","WR",7.07219230769231,"null",4.18933076923077,"160.47"
"Danny Amendola - NE","WR",7.05464615384615,"223.11",4.3091,"159.265"
"Chris Conley - KC","WR",7.00629230769231,"211.19",4.34821538461538,"194.65"
"Rueben Randle - PHI","WR",6.99256153846154,"219.29",4.39046923076923,"187.3333"
"Kenneth Dixon - BAL","RB",6.52393076923077,"142.175",4.93783846153846,"133.675"
"Jarius Wright - MIN","WR",6.73347692307692,"null",4.17997692307692,"160.475"
"Darren McFadden - DAL","RB",6.34096923076923,"198.37",4.63203846153846,"149.296"
"Josh Ferguson - IND","RB",6.32352307692308,"166.525",4.82887692307692,"171.6867"
"Kenny Stills - MIA","WR",6.6356,"264.63",4.32523846153846,"194.8367"
"Wendell Smallwood - PHI","RB",6.05915384615385,"170.43",4.53442307692308,"167.5367"
"Leonte Carroo - MIA","WR",6.36718461538462,"169.45",4.13214615384615,"172.4433"
"Spencer Ware - KC","RB",5.99447692307692,"173.84",5.10896923076923,"158.775"
"Larry Donnell - NYG","TE",5.85524615384615,"null",3.48028461538461,"160.42"
"Paul Perkins - NYG","RB",5.84751538461539,"164.79",4.79452307692308,"143.0267"
"Andrew Hawkins - CLE","WR",6.21175384615385,"null",3.78334615384615,"160.475"
"Chris Johnson - ARI","RB",5.7508,"164.48",4.76772307692308,"144.992"
"Rashad Greene - JAC","WR",6.08169230769231,"259.88",3.7206,"160.48"
"Karlos Williams - BUF","RB",5.6545,"161.455",4.78419230769231,"131.8583"
"Ryan Griffin - HOU","TE",5.50980769230769,"null",3.31314615384615,"160.46"
"Brent Celek - PHI","TE",5.50767692307692,"null",3.40937692307692,"160.385"
"Tyler Higbee - LA","TE",5.4226,"210.97",3.15888461538462,"185.41"
"Garrett Celek - SF","TE",5.37372307692308,"null",3.34777692307692,"160.47"
"Ronnie Hillman - DEN","RB",5.48113076923077,"228.96",4.11757692307692,"177.4275"
"Darren Fells - ARI","TE",5.34790769230769,"null",3.53394615384615,"160.45"
"KaDeem Carey - CHI","RB",5.44056923076923,"256",4.36275384615385,"160.3133"
"Luke Willson - SEA","TE",5.30902307692308,"null",3.41166923076923,"160.2"
"Braxton Miller - HOU","WR",5.76476153846154,"195.69",3.73242307692308,"165.64"
"Andre Ellington - ARI","RB",5.34029230769231,"244.62",3.85873846153846,"174.3133"
"Tajae Sharpe - TEN","WR",5.66674615384615,"185.52",3.58476153846154,"178.1167"
"Cecil Shorts - HOU","WR",5.63922307692308,"null",3.43904615384615,"160.44"
"Mike Tolbert - CAR","RB",5.20163846153846,"null",3.89765384615385,"160.33"
"Charcandrick West - KC","RB",5.18375384615385,"154.705",3.93711538461538,"148.8533"
"Pharoh Cooper - LA","WR",5.52375384615385,"198.68",3.39466153846154,"176.805"
"Hunter Henry - SD","TE",5.02259230769231,"177.55",3.07181538461538,"168.6033"
"Mychal Rivera - OAK","TE",5.0116,"null",2.85718461538462,"160.455"
"Blaine Gabbert - SF","QB",13.7769461538462,"187.44",12.7154076923077,"201.8267"
"Philly Brown - CAR","WR",5.43891538461538,"null",3.52873846153846,"150.84"
"Dexter McCluster - TEN","RB",4.87164615384615,"null",2.96364615384615,"160.47"
"Josh Hill - NO","TE",4.64678461538462,"null",2.66570769230769,"160.46"
"Jack Doyle - IND","TE",4.62752307692308,"null",2.71232307692308,"160.49"
"Jermaine Gresham - ARI","TE",4.61936153846154,"null",2.88800769230769,"160.43"
"Mike Gillislee - BUF","RB",4.64566153846154,"261.53",3.58134615384615,"160.485"
"Jared Goff - LA","QB",13.2509076923077,"161.77",13.2509076923077,"147.7125"
"Terrance West - BAL","RB",4.55112307692308,"167.96",3.87869230769231,"161.73"
"Cameron Artis-Payne - CAR","RB",4.53076153846154,"208",3.47607692307692,"165.6425"
"Maxx Williams - BAL","TE",4.40123846153846,"225.31",2.50886153846154,"173.2933"
"J.J. Nelson - ARI","WR",4.83751538461538,"239.89",3.37353076923077,"160.265"
"Austin Hooper - ATL","TE",4.34430769230769,"203.11",2.67230769230769,"178.57"
"Kenyan Drake - MIA","RB",4.4462,"204.3",3.23820769230769,"157.015"
"Crockett Gillmore - BAL","TE",4.3051,"null",2.62787692307692,"160.42"
"Jeff Janis - GB","WR",4.77824615384615,"212.06",3.1345,"190.0367"
"Alfred Blue - HOU","RB",4.40338461538462,"261.53",3.57373076923077,"191.66"
"Dontrelle Inman - SD","WR",4.76423846153846,"null",2.90141538461538,"160.49"
"Connor Barth - NO","K",2.69908461538462,"null",2.69908461538462,"136.0033"
"Virgil Green - DEN","TE",4.22586923076923,"248.17",2.37637692307692,"160.3"
"Tyler Ervin - HOU","RB",4.32066153846154,"220.83",3.33623076923077,"180.2325"
"Randy Bullock - NYJ","K",2.57425384615385,"null",2.57425384615385,"156.25"
"Robert Turbin - IND","RB",4.25431538461538,"null",2.98405384615385,"160.47"
"Dwayne Harris - NYG","WR",4.59101538461538,"null",2.96754615384615,"160.415"
"Christine Michael - SEA","RB",4.20294615384615,"176.145",3.32589230769231,"177.6725"
"Alfred Morris - DAL","RB",4.20136923076923,"179.365",3.66236153846154,"145.6417"
"Marcel Reece - OAK","RB",4.11776923076923,"null",2.54560769230769,"160.44"
"DeAndre Smelter - SF","WR",4.4822,"237.52",2.79117692307692,"160.485"
"Marcedes Lewis - JAC","TE",3.98032307692308,"null",2.46557692307692,"160.475"
"Marqise Lee - JAC","WR",4.44730769230769,"267.08",2.80462307692308,"160.47"
"Dezmin Lewis - BUF","WR",4.39157692307692,"null",2.52631538461538,"160.495"
"Khiry Robinson - NYJ","RB",3.96802307692308,"267.19",3.29516923076923,"160.475"
"Tre Mason - LA","RB",3.96553076923077,"null",2.67549230769231,"160.46"
"MyCole Pruitt - MIN","TE",3.82657692307692,"null",2.08175384615385,"160.495"
"Quincy Enunwa - NYJ","WR",4.31607692307692,"null",2.69950769230769,"160.48"
"Tyler Kroft - CIN","TE",3.77625384615385,"null",2.29236153846154,"160.485"
"Ty Montgomery - GB","WR",4.20813076923077,"248.27",2.54686153846154,"160.395"
"Tyrell Williams - SD","WR",4.20093846153846,"233.54",2.79668461538462,"160.49"
"Josh Huff - PHI","WR",4.18031538461538,"null",2.5905,"160.48"
"James White - NE","RB",3.76612307692308,"229.06",2.33933846153846,"160.39"
"Brian Quick - LA","WR",4.1282,"null",2.53247692307692,"160.49"
"Andre Holmes - OAK","WR",4.12001538461538,"null",2.73291538461538,"160.47"
"Niles Paul - WAS","TE",3.61211538461539,"null",2.22193076923077,"160.49"
"Matt Asiata - MIN","RB",3.70962307692308,"null",2.27006153846154,"160.47"
"Jesse James - PIT","TE",3.55782307692308,"230.62",2.06437692307692,"160.4"
"Devin Smith - NYJ","WR",4.02518461538462,"262.94",2.40966923076923,"160.49"
"Steve Johnson - SD","WR",4.01302307692308,"null",2.45399230769231,"160.43"
"Zach Zenner - DET","RB",3.61889230769231,"252.18",2.81806923076923,"160.46"
"Darrius Heyward-Bey - PIT","WR",3.94623846153846,"264.4",2.63112307692308,"160.4"
"Kyle Juszczyk - BAL","RB",3.57245384615385,"null",2.00377692307692,"160.485"
"Mark Sanchez - DEN","QB",12.2704692307692,"209.88",11.3473923076923,"160.235"
"Shaun Suisham - FA","K",1.87951538461538,"null",1.87951538461538,"150.86"
"T.J. Jones - DET","WR",3.93673846153846,"null",2.52633076923077,"150.97"
"Anthony Fasano - TEN","TE",3.42783846153846,"null",2.21353076923077,"160.485"
"Branden Oliver - SD","RB",3.49880769230769,"null",2.42333846153846,"160.475"
"C.J. Fiedorowicz - HOU","TE",3.33656153846154,"null",1.90240769230769,"160.48"
"Shayne Graham - ATL","K",1.74560769230769,"null",1.74560769230769,"139.0833"
"Brandon Coleman - NO","WR",3.80876923076923,"null",2.5662,"160.45"
"Bennie Fowler - DEN","WR",3.63591538461538,"null",2.20108461538462,"160.465"
"Gavin Escobar - DAL","TE",3.13403076923077,"null",1.96957692307692,"160.425"
"Blake Bell - SF","TE",3.08533846153846,"null",1.68698461538462,"160.48"
"Keith Marshall - WAS","RB",3.13597692307692,"193.22",2.54876153846154,"171.8325"
"Ed Dickson - CAR","TE",3.01067692307692,"null",1.85203846153846,"160.45"
"Cody Latimer - DEN","WR",3.49039230769231,"258.77",2.07915384615385,"160.48"
"Nate Washington - NE","WR",3.44649230769231,"null",2.33206153846154,"160.425"
"Dion Sims - MIA","TE",2.89614615384615,"null",1.66013076923077,"160.49"
"Jonathan Grimes - HOU","RB",3.01305384615385,"null",1.94626923076923,"160.485"
"Jordan Norwood - DEN","WR",3.35316923076923,"null",2.08573846153846,"160.47"
"Ryan Hewitt - CIN","TE",2.84660769230769,"null",1.64346923076923,"150.99"
"Brice Butler - DAL","WR",3.33312307692308,"null",2.19228461538462,"160.47"
"Kenny Bell - TB","WR",3.32720769230769,"261.26",2.14206153846154,"160.49"
"Jerome Simpson - SF","WR",3.32122307692308,"null",2.20959230769231,"160.49"
"Brandon Bolden - NE","RB",2.90154615384615,"null",2.16466923076923,"160.445"
"Chris Gragg - BUF","TE",2.76916923076923,"null",1.70091538461538,"160.495"
"Taylor Gabriel - CLE","WR",3.22527692307692,"null",1.86047692307692,"150.98"
"Stevan Ridley - DET","RB",2.82716923076923,"null",2.35466923076923,"160.48"
"Malcolm Mitchell - NE","WR",3.19253076923077,"193.64",1.94465384615385,"179.8867"
"Vernon Davis - WAS","TE",2.67612307692308,"null",1.51643076923077,"160.33"
"Mack Brown - WAS","RB",2.77177692307692,"null",2.43331538461538,"150.99"
"Adam Humphries - TB","WR",3.11461538461538,"null",2.04767692307692,"160.49"
"Marquess Wilson - CHI","WR",3.10662307692308,"null",1.85954615384615,"160.485"
"Craig Stevens - TEN","TE",2.61322307692308,"null",1.76730769230769,"160.49"
"Fitzgerald Toussaint - PIT","RB",2.68557692307692,"null",2.05217692307692,"160.445"
"Rhett Ellison - MIN","TE",2.56198461538462,"null",1.57355384615385,"160.495"
"Louis Murphy - TB","WR",3.02756923076923,"null",1.90383076923077,"150.98"
"Kenbrell Thompkins - NYJ","WR",2.96621538461538,"null",1.79298461538462,"150.99"
