"name","pos","overall","pick","year","player","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall"
"Jordan Howard","RB",162.9,14.07,2016,"Jordan Howard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan Matthews","WR",79,7.07,2016,"Jordan Matthews",11.5,50,NA,NA,NA,27.8,124.7,NA,NA,NA
"Jordan Reed","TE",50.1,5.02,2016,"Jordan Reed",NA,8,NA,NA,NA,NA,83.2,NA,NA,NA
"Jordy Nelson","WR",20.6,2.09,2016,"Jordy Nelson",NA,7,19,11,47,NA,20.3,51,34.7,121.9
"Josh Doctson","WR",154.1,13.1,2016,"Josh Doctson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Gordon","WR",127.5,11.08,2016,"Josh Gordon",NA,NA,34,NA,NA,NA,NA,86.1,NA,NA
"Julian Edelman","WR",51,5.03,2016,"Julian Edelman",24,26,63,NA,NA,55.1,62.4,161.5,NA,NA
"Julio Jones","WR",5.2,1.05,2016,"Julio Jones",3,5,4,2,26,9,15.1,21.8,14.9,68.9
"Julius Thomas","TE",107.6,9.12,2016,"Julius Thomas",12,2,NA,NA,NA,125,26.6,NA,NA,NA
"Justin Forsett","RB",89.9,8.06,2016,"Justin Forsett",11,NA,NA,NA,NA,20.5,NA,NA,NA,NA
"Kamar Aiken","WR",129.9,11.1,2016,"Kamar Aiken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karlos Williams","RB",127.9,11.08,2016,"Karlos Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keenan Allen","WR",23.3,2.11,2016,"Keenan Allen",23,11,NA,NA,NA,54.2,31.3,NA,NA,NA
"Kelvin Benjamin","WR",41,4.05,2016,"Kelvin Benjamin",NA,35,NA,NA,NA,NA,85.5,NA,NA,NA
"Kenneth Dixon","RB",127.8,11.08,2016,"Kenneth Dixon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kevin White","WR",93.6,8.1,2016,"Kevin White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirk Cousins","QB",62.6,6.03,2016,"Kirk Cousins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ladarius Green","TE",98.3,9.02,2016,"Ladarius Green",NA,13,NA,NA,NA,NA,134.2,NA,NA,NA
"Lamar Miller","RB",15,2.03,2016,"Lamar Miller",12,32,21,NA,NA,21.2,78.2,32.7,NA,NA
"Laquon Treadwell","WR",124.9,11.05,2016,"Laquon Treadwell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Larry Fitzgerald","WR",75.3,7.03,2016,"Larry Fitzgerald",36,15,7,3,4,89.5,40.3,28.9,22.5,15.6
"Latavius Murray","RB",46.2,4.1,2016,"Latavius Murray",15,NA,NA,NA,NA,31.9,NA,NA,NA,NA
"LeGarrette Blount","RB",113,10.05,2016,"LeGarrette Blount",28,49,NA,45,15,61.7,129.8,NA,122,28.7
