"year","owner","player","team","pos","value","keeper","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall"
2014,"Higdon","Bishop Sankey","TEN","RB",5,0,NA,NA,NA,NA,NA,60.7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Olson","Bishop Sankey","TEN","RB",1,0,5,NA,NA,NA,NA,98.6,41,27,NA,NA,NA,NA,60.7,NA,NA,NA,NA
2013,"Matovina","Blaine Gabbert","SF","QB",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Higdon","Blair Walsh","MIN","K",2,0,NA,NA,NA,NA,NA,145.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Harrington","Blair Walsh","MIN","K",1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Regan","Blair Walsh","MIN","K",1,0,1,2,NA,NA,NA,173,13,NA,2,NA,NA,NA,NA,145.6,NA,NA,NA
2014,"Higdon","Blake Bortles","JAC","QB",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"McShane","Blake Bortles","JAC","QB",8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Shokunbi","Brandin Cooks","NO","WR",13,0,NA,NA,NA,NA,NA,72.6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Matovina","Brandin Cooks","NO","WR",37,0,13,NA,NA,NA,NA,24.9,10,30,NA,NA,NA,NA,72.6,NA,NA,NA,NA
2010,"Regan","Brandon Jacobs","NYG","RB",16,0,NA,NA,NA,NA,NA,84.2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Higdon","Brandon Jacobs","NYG","RB",4,0,16,NA,NA,NA,NA,88.2,35,33,NA,NA,NA,NA,84.2,NA,NA,NA,NA
2013,"Thieneman","Brandon LaFell","NE","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Harrington","Brandon Lloyd","NE","WR",29,0,NA,NA,NA,NA,NA,50,19,18,NA,NA,NA,NA,47.2,NA,NA,NA,NA
2010,"Shokunbi","Brandon Marshall","MIA","WR",47,0,NA,NA,NA,NA,NA,18.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Thieneman","Brandon Marshall","MIA","WR",33,0,47,NA,NA,NA,NA,40.7,15,7,NA,NA,NA,NA,18.9,NA,NA,NA,NA
2012,"Ready","Brandon Marshall","CHI","WR",40,0,33,47,NA,NA,NA,24.4,4,15,7,NA,NA,NA,40.7,18.9,NA,NA,NA
2013,"Ready","Brandon Marshall","CHI","WR",45,0,40,33,47,NA,NA,23.7,5,4,15,7,NA,NA,24.4,40.7,18.9,NA,NA
2014,"Hartman","Brandon Marshall","CHI","WR",74,0,45,40,33,47,NA,17.1,6,5,4,15,7,NA,23.7,24.4,40.7,18.9,NA
2015,"Skrzyskewski","Brandon Marshall","NYJ","WR",20,0,74,45,40,33,47,50.6,22,6,5,4,15,7,17.1,23.7,24.4,40.7,18.9
2015,"Olson","Brandon McManus","DEN","K",1,0,NA,NA,NA,NA,NA,171,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Kane","Brandon Myers","TB","TE",8,0,NA,NA,NA,NA,NA,139.4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Skrzyskewski","Brandon Pettigrew","DET","TE",12,0,NA,NA,NA,NA,NA,128.1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"McShane","Brandon Pettigrew","DET","TE",27,0,12,NA,NA,NA,NA,73.2,7,14,NA,NA,NA,NA,128.1,NA,NA,NA,NA
2013,"Harrington","Brandon Pettigrew","DET","TE",1,0,27,12,NA,NA,NA,148.6,16,7,14,NA,NA,NA,73.2,128.1,NA,NA,NA
2013,"Olson","Brandon Weeden","DAL","QB",7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Kane","Braylon Edwards","NYJ","WR",9,0,NA,NA,NA,NA,NA,102.3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Higdon","Braylon Edwards","SF","WR",3,0,9,NA,NA,NA,NA,109.3,43,40,NA,NA,NA,NA,102.3,NA,NA,NA,NA
2010,"Skrzyskewski","Brent Celek","PHI","TE",18,0,NA,NA,NA,NA,NA,61.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Ready","Brent Celek","PHI","TE",1,0,NA,18,NA,NA,NA,154.7,17,16,6,NA,NA,NA,139,61.7,NA,NA,NA
2010,"Thieneman","Brett Favre","MIN","QB",40,0,NA,NA,NA,NA,NA,82.6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Thieneman","Brian Brohm","BUF","QB",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Harrington","Brian Hoyer","CLE","QB",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Regan","Brian Hoyer","HOU","QB",2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Shokunbi","Brian Quick","STL","WR",3,0,NA,NA,NA,NA,NA,106.6,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Matovina","Broncos D/ST","DEN","D/ST",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
