"year","owner","player","team","pos","value","keeper","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall"
2013,"Skrzyskewski","Fred Jackson","BUF","RB",2,0,45,20,10,NA,NA,95.7,37,12,29,41,NA,NA,20.1,73.2,107,NA,NA
2014,"Hartman","Fred Jackson","BUF","RB",3,0,2,45,20,10,NA,84.2,34,37,12,29,41,NA,95.7,20.1,73.2,107,NA
2010,"Thieneman","Garrett Hartley","NO","K",2,0,NA,NA,NA,NA,NA,143,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Skrzyskewski","Garrett Hartley","NO","K",1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Harrington","Garrett Hartley","NO","K",1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Regan","Garrett Hartley","FA","K",1,0,1,1,2,NA,NA,166.8,8,NA,NA,3,NA,NA,NA,NA,143,NA,NA
2014,"Higdon","Geno Smith","NYJ","QB",15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Kane","Geno Smith","NYJ","QB",1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Skrzyskewski","Giants D/ST","NYG","D/ST",1,0,NA,NA,NA,NA,NA,145.8,4,9,10.5,NA,NA,NA,131.2,157.3,NA,NA,NA
2013,"Olson","Giovani Bernard","CIN","RB",17,0,NA,NA,NA,NA,NA,41.8,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Regan","Giovani Bernard","CIN","RB",66,0,17,NA,NA,NA,NA,17.6,9,24,NA,NA,NA,NA,41.8,NA,NA,NA,NA
2015,"Skrzyskewski","Giovani Bernard","CIN","RB",13,0,66,17,NA,NA,NA,82.4,35,9,24,NA,NA,NA,17.6,41.8,NA,NA,NA
2010,"Ready","Golden Tate","SEA","WR",2,0,NA,NA,NA,NA,NA,136.8,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Harrington","Golden Tate","DET","WR",1,0,NA,NA,2,NA,NA,91.6,36,NA,NA,54,NA,NA,NA,NA,136.8,NA,NA
2014,"Olson","Golden Tate","DET","WR",11,0,1,NA,NA,2,NA,75.4,31,36,NA,NA,54,NA,91.6,NA,NA,136.8,NA
2015,"Ready","Golden Tate","DET","WR",29,0,11,1,NA,NA,2,45.2,20,31,36,NA,NA,54,75.4,91.6,NA,NA,136.8
2010,"Ready","Greg Jennings","GB","WR",28,0,NA,NA,NA,NA,NA,21.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Shokunbi","Greg Jennings","GB","WR",56,0,NA,28,NA,NA,NA,28.2,7,7,9,NA,NA,NA,22.1,21.5,NA,NA,NA
2013,"McShane","Greg Jennings","MIN","WR",11,0,56,NA,28,NA,NA,89.5,35,7,7,9,NA,NA,28.2,22.1,21.5,NA,NA
2014,"Ready","Greg Jennings","MIN","WR",1,0,11,56,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Skrzyskewski","Greg Little","CLE","WR",5,0,NA,NA,NA,NA,NA,136.3,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Regan","Greg Little","CLE","WR",3,0,5,NA,NA,NA,NA,121,46,52,NA,NA,NA,NA,136.3,NA,NA,NA,NA
2010,"Harrington","Greg Olsen","CHI","TE",2,0,NA,NA,NA,NA,NA,149.8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Olson","Greg Olsen","CAR","TE",5,0,2,NA,NA,NA,NA,144.6,17,17,NA,NA,NA,NA,149.8,NA,NA,NA,NA
2013,"Skrzyskewski","Greg Olsen","CAR","TE",5,0,NA,5,2,NA,NA,100.9,10,12,17,17,NA,NA,107.7,144.6,149.8,NA,NA
2014,"Harrington","Greg Olsen","CAR","TE",4,0,5,NA,5,2,NA,90.6,10,10,12,17,17,NA,100.9,107.7,144.6,149.8,NA
2015,"McShane","Greg Olsen","CAR","TE",18,0,4,5,NA,5,2,50.9,3,10,10,12,17,17,90.6,100.9,107.7,144.6,149.8
2010,"McShane","Hakeem Nicks","NYG","WR",22,0,NA,NA,NA,NA,NA,53.1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Kane","Hakeem Nicks","IND","WR",32,0,NA,NA,22,NA,NA,55.6,21,12,6,19,NA,NA,37.9,20.1,53.1,NA,NA
2014,"Regan","Hakeem Nicks","IND","WR",1,0,32,NA,NA,22,NA,111.7,44,21,12,6,19,NA,55.6,37.9,20.1,53.1,NA
2010,"Matovina","Heath Miller","PIT","TE",1,0,NA,NA,NA,NA,NA,154.3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Ready","Heath Miller","PIT","TE",1,0,NA,NA,NA,1,NA,142.5,15,NA,NA,NA,19,NA,NA,NA,NA,154.3,NA
2010,"Skrzyskewski","Hines Ward","PIT","WR",20,0,NA,NA,NA,NA,NA,58.1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Ready","Hines Ward","PIT","WR",4,0,20,NA,NA,NA,NA,100,37,23,NA,NA,NA,NA,58.1,NA,NA,NA,NA
2012,"Harrington","Isaac Redman","PIT","RB",9,0,NA,NA,NA,NA,NA,85.6,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Higdon","Isaac Redman","PIT","RB",3,0,9,NA,NA,NA,NA,121.3,46,34,NA,NA,NA,NA,85.6,NA,NA,NA,NA
2015,"Higdon","Isaiah Crowell","CLE","RB",5,0,NA,NA,NA,NA,NA,85.6,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"McShane","Isaiah Pead","STL","RB",6,0,NA,NA,NA,NA,NA,155.7,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Kane","Jacob Tamme","DEN","TE",7,0,NA,NA,NA,NA,NA,107,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Matovina","Jacoby Ford","OAK","WR",6,0,NA,NA,NA,NA,NA,115.9,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Ready","Jacoby Jones","BAL","WR",2,0,NA,NA,NA,NA,NA,154.6,58,NA,NA,50,NA,NA,NA,NA,124.7,NA,NA
2013,"Matovina","Jacquizz Rodgers","ATL","RB",1,0,NA,NA,NA,NA,NA,129.6,49,41,NA,NA,NA,NA,101.6,NA,NA,NA,NA
2010,"McShane","Jahvid Best","DET","RB",6,0,NA,NA,NA,NA,NA,38.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Skrzyskewski","Jake Locker","TEN","QB",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Regan","Jake Locker","TEN","QB",2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Regan","Jake Locker","TEN","QB",17,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Kane","Jamaal Charles","KC","RB",28,0,NA,NA,NA,NA,NA,27.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Ready","Jamaal Charles","KC","RB",44,0,NA,28,NA,NA,NA,17.7,10,5,12,NA,NA,NA,5.1,27.3,NA,NA,NA
2015,"Shokunbi","Jameis Winston","TB","QB",25,0,NA,NA,NA,NA,NA,157.7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Thieneman","James Jones","GB","WR",7,0,NA,NA,NA,NA,NA,150.5,58,71.5,NA,NA,NA,NA,160.5,NA,NA,NA,NA
2013,"Kane","James Jones","OAK","WR",18,0,NA,7,NA,NA,NA,71.5,28,NA,58,71.5,NA,NA,NA,150.5,160.5,NA,NA
2011,"McShane","James Starks","GB","RB",10,0,NA,NA,NA,NA,NA,90.4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Thieneman","James Starks","GB","RB",1,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Ready","James Starks","GB","RB",1,0,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Skrzyskewski","Jared Cook","TEN","TE",2,0,NA,NA,NA,NA,NA,134,14,18,NA,NA,NA,NA,150.8,NA,NA,NA,NA
2013,"Regan","Jared Cook","STL","TE",5,0,2,NA,NA,NA,NA,95.5,9,14,18,NA,NA,NA,134,150.8,NA,NA,NA
2015,"Regan","Jarvis Landry","MIA","WR",23,0,NA,NA,NA,NA,NA,48.3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Higdon","Jason Campbell","OAK","QB",6,0,NA,NA,NA,NA,NA,157,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Harrington","Jason Campbell","OAK","QB",3,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Ready","Jason Hanson","DET","K",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"McShane","Jason Witten","DAL","TE",16,0,NA,NA,NA,NA,NA,55.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Hartman","Jason Witten","DAL","TE",15,0,16,NA,NA,NA,NA,48.1,3,5,NA,NA,NA,NA,55.8,NA,NA,NA,NA
2012,"Ready","Jason Witten","DAL","TE",8,0,15,16,NA,NA,NA,79,8,3,5,NA,NA,NA,48.1,55.8,NA,NA,NA
2013,"Ready","Jason Witten","DAL","TE",21,0,8,15,16,NA,NA,58.6,4,8,3,5,NA,NA,79,48.1,55.8,NA,NA
2014,"Regan","Jason Witten","DAL","TE",27,0,21,8,15,16,NA,68.6,6,4,8,3,5,NA,58.6,79,48.1,55.8,NA
2015,"Regan","Jason Witten","DAL","TE",16,0,27,21,8,15,16,89.7,8,6,4,8,3,5,68.6,58.6,79,48.1,55.8
2010,"Kane","Jay Cutler","CHI","QB",17,0,NA,NA,NA,NA,NA,78.4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Ready","Jay Cutler","CHI","QB",11,0,17,NA,NA,NA,NA,126,17,10,NA,NA,NA,NA,78.4,NA,NA,NA,NA
2012,"Skrzyskewski","Jay Cutler","CHI","QB",30,0,11,17,NA,NA,NA,80.8,12,17,10,NA,NA,NA,126,78.4,NA,NA,NA
2013,"Ready","Jay Cutler","CHI","QB",22,0,30,11,17,NA,NA,125.8,16,12,17,10,NA,NA,80.8,126,78.4,NA,NA
2014,"Olson","Jay Cutler","CHI","QB",39,0,22,30,11,17,NA,73.3,9,16,12,17,10,NA,125.8,80.8,126,78.4,NA
2015,"Olson","Jay Cutler","CHI","QB",37,0,39,22,30,11,17,149.4,21,9,16,12,17,10,73.3,125.8,80.8,126,78.4
2010,"Ready","Jay Feely","ARI","K",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Skrzyskewski","Jeremy Hill","CIN","RB",1,0,NA,NA,NA,NA,NA,97.7,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Matovina","Jeremy Kerley","NYJ","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Regan","Jeremy Maclin","PHI","WR",8,0,NA,NA,NA,NA,NA,73.7,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Matovina","Jeremy Maclin","PHI","WR",18,0,8,NA,NA,NA,NA,62.4,25,29,NA,NA,NA,NA,73.7,NA,NA,NA,NA
2012,"Olson","Jeremy Maclin","PHI","WR",30,0,18,8,NA,NA,NA,62.7,24,25,29,NA,NA,NA,62.4,73.7,NA,NA,NA
2014,"Harrington","Jeremy Maclin","PHI","WR",13,0,NA,30,18,8,NA,65.3,27,NA,24,25,29,NA,NA,62.7,62.4,73.7,NA
2015,"Shokunbi","Jeremy Maclin","KC","WR",12,0,13,NA,30,18,8,41.3,18,27,NA,24,25,29,65.3,NA,62.7,62.4,73.7
2010,"Ready","Jermichael Finley","GB","TE",12,0,NA,NA,NA,NA,NA,42.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Thieneman","Jermichael Finley","GB","TE",31,0,12,NA,NA,NA,NA,41.7,2,3,NA,NA,NA,NA,42.8,NA,NA,NA,NA
2012,"Regan","Jermichael Finley","GB","TE",20,0,31,12,NA,NA,NA,63.1,6,2,3,NA,NA,NA,41.7,42.8,NA,NA,NA
2013,"Shokunbi","Jermichael Finley","GB","TE",13,0,20,31,12,NA,NA,75.7,6,6,2,3,NA,NA,63.1,41.7,42.8,NA,NA
2010,"Skrzyskewski","Jerome Harrison","PHI","RB",11,0,NA,NA,NA,NA,NA,75.9,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Kane","Jerome Harrison","DET","RB",2,0,11,NA,NA,NA,NA,159.2,56,31,NA,NA,NA,NA,75.9,NA,NA,NA,NA
2011,"Thieneman","Jerome Simpson","CIN","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"McShane","Jerricho Cotchery","NYJ","WR",1,0,NA,NA,NA,NA,NA,137.3,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Higdon","Jets D/ST","NYJ","D/ST",9,0,NA,NA,NA,NA,NA,86.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Matovina","Jets D/ST","NYJ","D/ST",1,0,9,NA,NA,NA,NA,95.7,4,1,NA,NA,NA,NA,86.5,NA,NA,NA,NA
2012,"Matovina","Jets D/ST","NYJ","D/ST",2,0,1,9,NA,NA,NA,152.8,5,4,1,NA,NA,NA,95.7,86.5,NA,NA,NA
2015,"Shokunbi","Jets D/ST","JETS ","D/ST",1,0,NA,NA,2,1,9,147.5,8,NA,NA,5,4,1,NA,NA,152.8,95.7,86.5
2011,"Skrzyskewski","Jimmy Graham","NO","TE",13,0,NA,NA,NA,NA,NA,65,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Hartman","Jimmy Graham","NO","TE",35,0,13,NA,NA,NA,NA,13.3,1,6,NA,NA,NA,NA,65,NA,NA,NA,NA
2013,"Thieneman","Jimmy Graham","NO","TE",41,0,35,13,NA,NA,NA,22.6,1,1,6,NA,NA,NA,13.3,65,NA,NA,NA
2014,"Skrzyskewski","Jimmy Graham","NO","TE",69,0,41,35,13,NA,NA,8.2,1,1,1,6,NA,NA,22.6,13.3,65,NA,NA
2015,"Hartman","Jimmy Graham","SEA","TE",40,0,69,41,35,13,NA,32,2,1,1,1,6,NA,8.2,22.6,13.3,65,NA
2012,"Hartman","Joe Adams","CAR","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Shokunbi","Joe Flacco","BAL","QB",34,0,NA,NA,NA,NA,NA,60.8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Olson","Joe Flacco","BAL","QB",42,0,34,NA,NA,NA,NA,112.1,16,8,NA,NA,NA,NA,60.8,NA,NA,NA,NA
2012,"Thieneman","Joe Flacco","BAL","QB",31,0,42,34,NA,NA,NA,115.1,17,16,8,NA,NA,NA,112.1,60.8,NA,NA,NA
2013,"Kane","Joe Flacco","BAL","QB",33,0,31,42,34,NA,NA,139.2,20,17,16,8,NA,NA,115.1,112.1,60.8,NA,NA
2014,"Ready","Joe Flacco","BAL","QB",22,0,33,31,42,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Matovina","Joe Flacco","BAL","QB",20,0,22,33,31,42,34,142.7,18,NA,20,17,16,8,NA,139.2,115.1,112.1,60.8
2010,"McShane","Joey Galloway","WAS","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Skrzyskewski","John Brown","ARI","WR",5,0,NA,NA,NA,NA,NA,74,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Hartman","John Carlson","SEA","TE",1,0,NA,NA,NA,NA,NA,138.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Kane","Johnny Knox","CHI","WR",9,0,NA,NA,NA,NA,NA,75.1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Kane","Johnny Knox","CHI","WR",11,0,9,NA,NA,NA,NA,104.9,39.5,30,NA,NA,NA,NA,75.1,NA,NA,NA,NA
2014,"Olson","Johnny Manziel","CLE","QB",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Ready","John Skelton","ARI","QB",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Hartman","Joique Bell","DET","RB",3,0,NA,NA,NA,NA,NA,135.7,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Shokunbi","Joique Bell","DET","RB",15,0,3,NA,NA,NA,NA,51.4,24,51,NA,NA,NA,NA,135.7,NA,NA,NA,NA
2015,"McShane","Joique Bell","DET","RB",19,0,15,3,NA,NA,NA,73.3,32,24,51,NA,NA,NA,51.4,135.7,NA,NA,NA
2015,"Matovina","Jonas Gray","FA","RB",1,0,NA,NA,NA,NA,NA,127.8,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Ready","Jonathan Dwyer","ARI","RB",1,0,NA,NA,NA,NA,NA,112.6,43,49,NA,NA,NA,NA,146.9,NA,NA,NA,NA
2010,"Shokunbi","Jonathan Stewart","CAR","RB",30,0,NA,NA,NA,NA,NA,50.7,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"McShane","Jonathan Stewart","CAR","RB",10,0,30,NA,NA,NA,NA,93.5,37,22,NA,NA,NA,NA,50.7,NA,NA,NA,NA
2012,"Kane","Jonathan Stewart","CAR","RB",20,0,10,30,NA,NA,NA,95.1,38,37,22,NA,NA,NA,93.5,50.7,NA,NA,NA
2015,"Higdon","Jonathan Stewart","CAR","RB",16,0,NA,NA,20,10,30,48,24,52,NA,38,37,22,142.2,NA,95.1,93.5,50.7
2012,"Ready","Jon Baldwin","KC","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Olson","Jordan Cameron","CLE","TE",4,0,NA,NA,NA,NA,NA,85.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"McShane","Jordan Cameron","CLE","TE",11,0,4,NA,NA,NA,NA,57.6,5,7,NA,NA,NA,NA,85.6,NA,NA,NA,NA
2015,"Thieneman","Jordan Cameron","MIA","TE",1,0,11,4,NA,NA,NA,77.5,6,5,7,NA,NA,NA,57.6,85.6,NA,NA,NA
2015,"Olson","Jordan Matthews","PHI","WR",37,0,NA,NA,NA,NA,NA,27.8,11.5,50,NA,NA,NA,NA,124.7,NA,NA,NA,NA
2014,"Shokunbi","Jordan Reed","WSH","TE",1,0,NA,NA,NA,NA,NA,83.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Olson","Jordy Nelson","GB","WR",5,0,NA,NA,NA,NA,NA,121.9,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Regan","Jordy Nelson","GB","WR",26,0,NA,5,NA,NA,NA,51,19,11,47,NA,NA,NA,34.7,121.9,NA,NA,NA
2015,"Regan","Jordy Nelson","GB","WR",1,0,NA,26,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Shokunbi","Joseph Addai","IND","RB",25,0,NA,NA,NA,NA,NA,47.6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Higdon","Joseph Addai","IND","RB",19,0,25,NA,NA,NA,NA,80.6,33,20,NA,NA,NA,NA,47.6,NA,NA,NA,NA
2011,"McShane","Josh Brown","STL","K",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Skrzyskewski","Josh Brown","NYG","K",1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Olson","Josh Freeman","TB","QB",19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Regan","Josh Gordon","CLE","WR",5,0,NA,NA,NA,NA,NA,86.1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Matovina","Josh McCown","TB","QB",29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Ready","Josh McCown","CLE","QB",2,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Hartman","Josh Morgan","SF","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Higdon","Julian Edelman","NE","WR",19,0,NA,NA,NA,NA,NA,62.4,26,63,NA,NA,43,NA,161.5,NA,NA,113,NA
2015,"Kane","Julian Edelman","NE","WR",24,0,19,NA,NA,NA,NA,55.1,24,26,63,NA,NA,43,62.4,161.5,NA,NA,113
2011,"Higdon","Julio Jones","ATL","WR",16,0,NA,NA,NA,NA,NA,68.9,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Regan","Justin Blackmon","JAC","WR",7,0,NA,NA,NA,NA,NA,80.5,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Thieneman","Justin Blackmon","JAC","WR",1,0,7,NA,NA,NA,NA,112.4,44,32,NA,NA,NA,NA,80.5,NA,NA,NA,NA
2010,"Higdon","Justin Forsett","SEA","RB",8,0,NA,NA,NA,NA,NA,67.9,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Skrzyskewski","Justin Hunter","TEN","WR",2,0,NA,NA,NA,NA,NA,100.3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Hartman","Justin Tucker","BAL","K",9,0,NA,NA,NA,NA,NA,168.6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Shokunbi","Justin Tucker","BAL","K",2,0,9,NA,NA,NA,NA,150.6,3,12,NA,NA,NA,NA,168.6,NA,NA,NA,NA
2015,"Harrington","Justin Tucker","BAL","K",1,0,2,9,NA,NA,NA,162.3,7,3,12,NA,NA,NA,150.6,168.6,NA,NA,NA
2010,"Higdon","Kellen Winslow","TB","TE",10,0,NA,NA,NA,NA,NA,115.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Higdon","Kellen Winslow","TB","TE",4,0,10,NA,NA,NA,NA,113,11,12,NA,NA,NA,NA,115.3,NA,NA,NA,NA
2013,"Olson","Kenbrell Thompkins","NE","WR",1,0,NA,NA,NA,NA,NA,75,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Shokunbi","Kendall Wright","TEN","WR",1,0,NA,NA,NA,NA,NA,111,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Kane","Kendall Wright","TEN","WR",1,0,1,NA,NA,NA,NA,159.1,61,41,NA,NA,NA,NA,111,NA,NA,NA,NA
2014,"Matovina","Kendall Wright","TEN","WR",7,0,1,1,NA,NA,NA,87.3,36,61,41,NA,NA,NA,159.1,111,NA,NA,NA
2015,"Hartman","Kendall Wright","TEN","WR",3,0,7,1,1,NA,NA,111.5,46,36,61,41,NA,NA,87.3,159.1,111,NA,NA
2010,"Higdon","Kenny Britt","TEN","WR",3,0,NA,NA,NA,NA,NA,122.7,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Skrzyskewski","Kenny Britt","TEN","WR",25,0,3,NA,NA,NA,NA,69.8,27,48,NA,NA,NA,NA,122.7,NA,NA,NA,NA
2012,"Regan","Kenny Britt","TEN","WR",16,0,25,3,NA,NA,NA,76.8,31,27,48,NA,NA,NA,69.8,122.7,NA,NA,NA
2013,"Olson","Kenny Britt","STL","WR",7,0,16,25,3,NA,NA,101.9,40,31,27,48,NA,NA,76.8,69.8,122.7,NA,NA
2010,"Olson","Kevin Boss","NYG","TE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"McShane","Kevin Kolb","PHI","QB",18,0,NA,NA,NA,NA,NA,64.8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Hartman","Kevin Kolb","ARI","QB",18,0,18,NA,NA,NA,NA,110.9,15,9,NA,NA,NA,NA,64.8,NA,NA,NA,NA
2012,"Harrington","Kevin Kolb","ARI","QB",3,0,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Higdon","Kevin Smith","DET","RB",12,0,NA,NA,NA,NA,NA,75,30,NA,50,NA,NA,NA,NA,146.9,NA,NA,NA
2014,"Thieneman","Khiry Robinson","NO","RB",1,0,NA,NA,NA,NA,NA,126.4,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Hartman","Kirk Cousins","WSH","QB",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"McShane","Kirk Cousins","WSH","QB",6,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Kane","Knile Davis","KC","RB",1,0,NA,NA,NA,NA,NA,149.8,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Thieneman","Knile Davis","KC","RB",1,0,1,NA,NA,NA,NA,115.2,46,54,NA,NA,NA,NA,149.8,NA,NA,NA,NA
2010,"McShane","Knowshon Moreno","DEN","RB",26,0,NA,NA,NA,NA,NA,52.4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Matovina","Knowshon Moreno","DEN","RB",30,0,26,NA,NA,NA,NA,45.8,21,23,NA,NA,NA,NA,52.4,NA,NA,NA,NA
2013,"Regan","Knowshon Moreno","MIA","RB",5,0,NA,30,26,NA,NA,99.8,39,NA,21,23,NA,NA,NA,45.8,52.4,NA,NA
2014,"Regan","Knowshon Moreno","MIA","RB",3,0,5,NA,30,26,NA,85.1,35,39,NA,21,23,NA,99.8,NA,45.8,52.4,NA
2010,"Matovina","Kyle Orton","DEN","QB",1,0,NA,NA,NA,NA,NA,160.9,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Matovina","Kyle Orton","KC","QB",10,0,1,NA,NA,NA,NA,129.9,19,28,NA,NA,NA,NA,160.9,NA,NA,NA,NA
2012,"Matovina","Kyle Rudolph","MIN","TE",2,0,NA,NA,NA,NA,NA,140.3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"McShane","Kyle Rudolph","MIN","TE",16,0,2,NA,NA,NA,NA,109.2,11,15,NA,NA,NA,NA,140.3,NA,NA,NA,NA
2014,"Shokunbi","Kyle Rudolph","MIN","TE",13,0,16,2,NA,NA,NA,72.6,7,11,15,NA,NA,NA,109.2,140.3,NA,NA,NA
