"","player","year","pos","value","lag1_value","lag2_value","lag3_value","lag4_value","lag5_value"
"202","Kevin Smith",2016,"RB",NA,NA,NA,NA,12,NA
"203","Khiry Robinson",2016,"RB",NA,NA,1,NA,NA,NA
"204","Kirk Cousins",2016,"QB",NA,6,3,NA,NA,NA
"205","Knile Davis",2016,"RB",NA,1,1,NA,NA,NA
"206","Knowshon Moreno",2016,"RB",NA,NA,3,5,NA,30
"207","Kyle Orton",2016,"QB",NA,NA,NA,NA,NA,10
"208","Kyle Rudolph",2016,"TE",NA,1,13,16,2,NA
"209","LaDainian Tomlinson",2016,"RB",NA,NA,NA,NA,NA,2
"210","Lamar Miller",2016,"RB",NA,65,2,23,NA,NA
"211","Lance Moore",2016,"WR",NA,NA,NA,7,15,4
"212","Larry Donnell",2016,"TE",NA,1,NA,NA,NA,NA
"213","Larry Fitzgerald",2016,"WR",NA,10,46,44,65,92
"214","Laurence Maroney",2016,"RB",NA,NA,NA,NA,NA,NA
"215","Laurent Robinson",2016,"WR",NA,NA,NA,NA,1,NA
"216","Lee Evans",2016,"WR",NA,NA,NA,NA,NA,6
"217","LeGarrette Blount",2016,"RB",NA,11,1,NA,2,35
"218","Leonard Hankerson",2016,"WR",NA,NA,NA,NA,1,NA
"219","Leon Washington",2016,"RB",NA,NA,NA,NA,NA,NA
"220","LeSean McCoy",2016,"RB",NA,NA,NA,NA,NA,NA
"221","Le'Veon Bell",2016,"RB",NA,NA,NA,6,NA,NA
"222","Malcom Floyd",2016,"WR",NA,1,NA,2,9,NA
"223","Marcedes Lewis",2016,"TE",NA,NA,NA,NA,NA,7
"224","Marcus Mariota",2016,"QB",NA,26,NA,NA,NA,NA
"225","Mario Manningham",2016,"WR",NA,NA,NA,NA,2,40
"226","Marion Barber",2016,"RB",NA,NA,NA,NA,NA,NA
"227","Mark Ingram",2016,"RB",NA,35,1,6,8,23
"228","Mark Sanchez",2016,"QB",NA,NA,NA,NA,NA,12
"229","Markus Wheaton",2016,"WR",NA,NA,1,NA,NA,NA
"230","Marqise Lee",2016,"WR",NA,NA,1,NA,NA,NA
"231","Marques Colston",2016,"WR",NA,5,8,36,35,28
"232","Marshawn Lynch",2016,"RB",NA,NA,NA,NA,NA,20
"233","Martavis Bryant",2016,"WR",NA,10,NA,NA,NA,NA
"234","Martellus Bennett",2016,"TE",NA,14,1,1,NA,NA
"235","Marvin Jones",2016,"WR",NA,4,NA,NA,NA,NA
"236","Matt Cassel",2016,"QB",NA,NA,NA,NA,6,NA
"237","Matt Forte",2016,"RB",NA,68,84,62,NA,41
"238","Matt Hasselbeck",2016,"QB",NA,NA,NA,NA,NA,3
"239","Matthew Stafford",2016,"QB",NA,71,75,88,NA,33
"240","Matt Leinart",2016,"QB",NA,NA,NA,NA,NA,NA
"241","Matt Ryan",2016,"QB",NA,61,58,75,71,NA
"242","Matt Schaub",2016,"QB",NA,NA,NA,18,35,64
"243","Maurice Jones-Drew",2016,"RB",NA,NA,1,64,NA,79
"244","Melvin Gordon",2016,"RB",NA,36,NA,NA,NA,NA
"245","Michael Bush",2016,"RB",NA,NA,NA,NA,11,10
"246","Michael Crabtree",2016,"WR",NA,1,31,NA,7,15
"247","Michael Floyd",2016,"WR",NA,4,17,1,NA,NA
"248","Michael Turner",2016,"RB",NA,NA,NA,NA,30,72
"249","Michael Vick",2016,"QB",NA,NA,3,NA,NA,NA
"250","Mike Evans",2016,"WR",NA,NA,5,NA,NA,NA
"251","Mike Sims-Walker",2016,"WR",NA,NA,NA,NA,NA,5
"252","Mike Thomas",2016,"WR",NA,NA,NA,NA,NA,20
"253","Mike Tolbert",2016,"RB",NA,NA,NA,NA,1,18
"254","Mike Wallace",2016,"WR",NA,22,13,31,46,NA
"255","Mike Williams",2016,"WR",NA,NA,NA,8,1,1
"256","Miles Austin",2016,"WR",NA,NA,NA,16,28,39
"257","Mohamed Massaquoi",2016,"WR",NA,NA,NA,NA,NA,NA
"258","Montario Hardesty",2016,"RB",NA,NA,NA,NA,NA,2
"259","Montee Ball",2016,"RB",NA,NA,NA,25,NA,NA
"260","Nate Burleson",2016,"WR",NA,NA,NA,NA,1,3
"261","Nate Washington",2016,"WR",NA,NA,NA,1,18,NA
"262","Nelson Agholor",2016,"WR",NA,21,NA,NA,NA,NA
"263","Nick Foles",2016,"QB",NA,15,NA,3,NA,NA
"264","Owen Daniels",2016,"TE",NA,2,NA,7,5,10
"265","Pat White",2016,"QB",NA,NA,NA,NA,NA,NA
"266","Percy Harvin",2016,"WR",NA,NA,20,NA,27,26
"267","Peyton Hillis",2016,"RB",NA,NA,NA,NA,8,NA
"268","Peyton Manning",2016,"QB",NA,85,103,NA,63,72
"269","Philip Rivers",2016,"QB",NA,NA,42,18,72,68
"270","Pierre Garcon",2016,"WR",NA,1,26,13,8,18
"271","Pierre Thomas",2016,"RB",NA,NA,2,NA,1,2
"272","Plaxico Burress",2016,"WR",NA,NA,NA,NA,NA,26
"273","Randy Moss",2016,"WR",NA,NA,NA,NA,1,NA
"274","Rashad Jennings",2016,"RB",NA,28,22,NA,NA,1
"275","Rashard Mendenhall",2016,"RB",NA,NA,NA,13,NA,72
"276","Ray Rice",2016,"RB",NA,NA,15,76,107,99
"277","Reggie Bush",2016,"RB",NA,NA,43,37,11,2
"278","Reggie Wayne",2016,"WR",NA,NA,9,25,9,51
"279","Ricky Williams",2016,"RB",NA,NA,NA,NA,NA,1
"280","Riley Cooper",2016,"WR",NA,NA,8,NA,NA,NA
"281","Robert Griffin III",2016,"QB",NA,NA,50,45,29,NA
"282","Robert Meachem",2016,"WR",NA,NA,NA,NA,15,7
"283","Rob Gronkowski",2016,"TE",NA,NA,41,NA,NA,1
"284","Roddy White",2016,"WR",NA,3,36,51,57,60
"285","Ronnie Brown",2016,"RB",NA,NA,NA,NA,NA,1
"286","Ronnie Hillman",2016,"RB",NA,1,NA,1,NA,NA
"287","Royce Adams",2016,"WR",NA,NA,NA,NA,1,NA
"288","Roy Helu",2016,"RB",NA,NA,1,1,8,NA
"289","Roy Williams",2016,"WR",NA,NA,NA,NA,NA,6
"290","Rueben Randle",2016,"WR",NA,1,1,2,2,NA
"291","Russell Wilson",2016,"QB",NA,NA,NA,NA,1,NA
"292","Ryan Broyles",2016,"WR",NA,NA,NA,2,NA,NA
"293","Ryan Fitzpatrick",2016,"QB",NA,2,16,NA,6,2
"294","Ryan Grant",2016,"RB",NA,NA,NA,NA,NA,20
"295","Ryan Mathews",2016,"RB",NA,6,30,10,35,25
"296","Ryan Tannehill",2016,"QB",NA,45,NA,9,NA,NA
"297","Ryan Torain",2016,"RB",NA,NA,NA,NA,NA,4
"298","Sam Bradford",2016,"QB",NA,30,NA,17,15,NA
"299","Sammy Morris",2016,"RB",NA,NA,NA,NA,NA,NA
"300","Sammy Watkins",2016,"WR",NA,22,16,NA,NA,NA
"301","Santana Moss",2016,"WR",NA,NA,NA,NA,NA,12
"302","Santonio Holmes",2016,"WR",NA,NA,NA,NA,9,23
"303","Shane Vereen",2016,"RB",NA,2,NA,15,3,NA
"304","Shaun Hill",2016,"QB",NA,NA,1,NA,NA,NA
"305","Shonn Greene",2016,"RB",NA,NA,1,2,21,44
"306","Sidney Rice",2016,"WR",NA,NA,NA,15,10,13
"307","Stevan Ridley",2016,"RB",NA,NA,7,69,16,NA
"308","Steve Breaston",2016,"WR",NA,NA,NA,NA,NA,NA
"309","Steve Johnson",2016,"WR",NA,NA,NA,11,25,44
"310","Steven Jackson",2016,"RB",NA,NA,12,57,66,52
"311","Steve Slaton",2016,"RB",NA,NA,NA,NA,NA,NA
"312","Steve Smith",2016,"WR",NA,NA,1,23,NA,14
"313","Steve Smith Sr.",2016,"WR",NA,8,NA,NA,NA,NA
"314","Tarvaris Jackson",2016,"QB",NA,NA,NA,NA,NA,1
"315","Tavon Austin",2016,"WR",NA,NA,1,28,NA,NA
"316","Teddy Bridgewater",2016,"QB",NA,35,1,NA,NA,NA
"317","Terrance West",2016,"RB",NA,NA,1,NA,NA,NA
