"","X","year","owner","player","team","pos","value","keeper","first_name","lag1","lag2","lag3","lag4","lag5"
"131",542,2012,"Ready","Brent Celek","Phi","TE",1,0,"Brent",NA,18,NA,NA,NA
"132",116,2010,"Thieneman","Brett Favre","Min","QB",40,0,"Brett",NA,NA,NA,NA,NA
"133",126,2010,"Thieneman","Brian Brohm","Buf","QB",1,0,"Brian",NA,NA,NA,NA,NA
"134",808,2014,"Harrington","Brian Hoyer","Cle","QB",1,0,"Brian",NA,NA,NA,NA,NA
"135",1039,2015,"Regan","Brian Hoyer","Hou","QB",2,0,"Brian",1,NA,NA,NA,NA
"136",1055,2015,"Shokunbi","Brian Quick","StL","WR",3,0,"Brian",NA,NA,NA,NA,NA
"137",142,2010,"Matovina","Broncos D/ST","Den","D/ST",1,0,"Broncos",NA,NA,NA,NA,NA
"138",765,2013,"Olson","Broncos D/ST","Broncos ","D/ST",1,0,"Broncos",NA,NA,1,NA,NA
"139",893,2014,"Thieneman","Broncos D/ST","Broncos ","D/ST",1,0,"Broncos",1,NA,NA,1,NA
"140",1134,2015,"Skrzyskewski","Broncos D/ST","Broncos ","D/ST",1,0,"Broncos",1,1,NA,NA,1
"141",745,2013,"Skrzyskewski","Bryce Brown","Phi","RB",8,0,"Bryce",NA,NA,NA,NA,NA
"142",717,2013,"Matovina","Buccaneers D/ST","Buccaneers ","D/ST",1,0,"Buccaneers",NA,NA,NA,NA,NA
"143",798,2014,"Kane","Buccaneers D/ST","Buccaneers ","D/ST",1,0,"Buccaneers",1,NA,NA,NA,NA
"144",76,2010,"Regan","Cadillac Williams","TB","RB",1,0,"Cadillac",NA,NA,NA,NA,NA
"145",1099,2015,"Matovina","Caleb Sturgis","FA","K",1,0,"Caleb",NA,NA,NA,NA,NA
"146",146,2010,"Ready","Calvin Johnson","Det","WR",49,0,"Calvin",NA,NA,NA,NA,NA
"147",341,2011,"Ready","Calvin Johnson","Det","WR",70,0,"Calvin",49,NA,NA,NA,NA
"148",723,2013,"Ready","Calvin Johnson","Det","WR",79,0,"Calvin",NA,70,49,NA,NA
"149",883,2014,"Thieneman","Calvin Johnson","Det","WR",78,0,"Calvin",79,NA,70,49,NA
