"","player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost","ppg"
"122","Brock Osweiler","QB",122.1,11.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0921428463858,17.5462538461538
"123","Dorial Green-Beckham","WR",122.8,11.03,59,NA,NA,NA,NA,150.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.291257007536,6.39682307692308
"124","Travis Benjamin","WR",123.8,11.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.99358846640568,7.8953
"125","Laquon Treadwell","WR",124.9,11.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.000699159305,7.45446923076923
"126","Charcandrick West","RB",126.9,11.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.88406961076444,3.93711538461538
"127","Zach Ertz","TE",126.9,11.07,13,11,NA,NA,NA,132.2,96.3,NA,NA,NA,4,NA,NA,NA,NA,13.6330967033148,7.73616153846154
"128","Josh Gordon","WR",127.5,11.08,NA,NA,34,NA,NA,NA,NA,86.1,NA,NA,NA,NA,5,NA,NA,9.8774464610759,7.76153076923077
"129","Kenneth Dixon","RB",127.8,11.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8576736979953,4.93783846153846
"130","Karlos Williams","RB",127.9,11.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8576736979953,4.78419230769231
"131","Antonio Gates","TE",128.4,11.08,15,14,8,4,1,145.1,138.9,88.9,45.6,37.8,NA,NA,9,21,41,14.7655461800885,7.94115384615385
"132","Tavon Austin","WR",129.4,11.09,NA,56,32,NA,NA,NA,154.3,82.8,NA,NA,NA,1,28,NA,NA,12.3708612252616,9.60256923076923
"133","Kamar Aiken","WR",129.9,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.21700049816681,7.30163846153846
"134","Willie Snead","WR",130.1,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.21700049816681,8.66608461538462
"135","Theo Riddick","RB",131.7,11.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12348758509148,7.55998461538462
"136","CJ Prosise","RB",131.8,11.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.10849072572267,5.96076153846154
"137","Mohamed Sanu","WR",132.7,12.01,NA,NA,57,NA,NA,NA,NA,150.7,NA,NA,NA,NA,NA,NA,NA,9.58988485152639,7.04656923076923
"138","Devin Funchess","WR",135.4,12.03,38,NA,NA,NA,NA,93.7,NA,NA,NA,NA,13,NA,NA,NA,NA,12.9008551008582,6.82407692307692
"139","Robert Griffin III","QB",138.6,12.07,NA,13,10,14,NA,NA,100.2,74.8,94.9,NA,NA,50,45,29,NA,16.4706839606233,14.6630153846154
"140","Chris Johnson","RB",138.9,12.07,NA,26,13,5,4,NA,56.7,15.5,8.9,3.9,NA,7,60,74,95,16.3220333465214,4.76772307692308
