"","player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost","ppg"
"344","Montario Hardesty","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.87866456112075,NA
"345","Montee Ball","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,4.12295415115617,0
"346","Nate Burleson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3.8407348317883,NA
"347","Nate Washington","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,NA,3.30844359129708,2.33206153846154
"348","Nelson Agholor","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,5.3207475912296,5.92013846153846
"349","Nick Foles","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,3,NA,NA,4.20418521215201,0.126361538461538
"350","Owen Daniels","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,5,10,3.25860063645449,0
"351","Pat White","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"352","Percy Harvin","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,27,26,4.85562872742492,0
"353","Peyton Hillis","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,3.80967796734849,NA
"354","Peyton Manning","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,103,NA,63,72,9.92882388981592,NA
"355","Pierre Thomas","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,5.05578952083717,0
"356","Plaxico Burress","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,3.89360457508297,NA
"357","Randy Moss","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849,NA
"358","Rashard Mendenhall","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,72,3.66736285774061,NA
"359","Ray Rice","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,76,107,99,6.51076570677438,0
"360","Reggie Bush","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,37,11,2,5.66059468153336,1.17725384615385
"361","Reggie Wayne","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,25,9,51,5.69889954159033,NA
"362","Ricky Williams","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075,NA
"363","Riley Cooper","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,5.26202746892412,0
"364","Robert Meachem","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,7,3.8384326177942,NA
"365","Roddy White","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,36,51,57,60,6.25042751362807,0
"366","Ronnie Brown","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075,0
"367","Ronnie Hillman","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,3.0946084953583,4.11757692307692
"368","Royce Adams","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849,NA
"369","Roy Helu","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8,NA,4.55584841991961,0.287792307692308
"370","Roy Williams","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.87866456112075,NA
"371","Rueben Randle","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,4.30298837523588,4.39046923076923
"372","Ryan Broyles","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3.32334373788318,0
"373","Ryan Grant","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3.89845092931792,NA
"374","Ryan Torain","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.87866456112075,NA
"375","Sammy Morris","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"376","Santana Moss","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3.87866456112075,NA
"377","Santonio Holmes","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,23,3.86112238528876,0
"378","Shane Vereen","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,15,3,NA,3.80977908006477,7.12652307692308
"379","Shaun Hill","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934,0.540192307692308
"380","Shonn Greene","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,21,44,4.59910875669089,0
"381","Sidney Rice","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,10,13,3.89682741331888,NA
"382","Stevan Ridley","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,69,16,NA,6.58749173911667,2.35466923076923
"383","Steve Breaston","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"384","Steve Johnson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,25,44,3.39283497954289,2.45399230769231
"385","Steven Jackson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,57,66,52,6.48237855784882,0
"386","Steve Slaton","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"387","Steve Smith","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,23,NA,14,5.39338981599135,NA
"388","Tarvaris Jackson","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075,0.218923076923077
"389","Terrance West","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934,3.87869230769231
"390","Terrance Williams","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,5.14386295242308,7.26873076923077
"391","Terrell Owens","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.87866456112075,NA
"392","Thomas Jones","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.87866456112075,NA
"393","Tiki Barber","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.87866456112075,NA
"394","Tim Hightower","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,3.89220121809841,5.60016923076923
"395","Tim Tebow","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3.80967796734849,0
"396","Titus Young","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3.8407348317883,NA
"397","T.J. Houshmandzadeh","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"398","Toby Gerhart","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,7,NA,4.81899625101885,0
"399","Tony Gonzalez","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,8,6,3.93716679303318,NA
"400","Tre Mason","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3.76825047168372,2.67549230769231
"401","Trent Richardson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,24,NA,4.9962255130344,0
"402","Troy Williamson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"403","Vernon Davis","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,15,24,17,4.95635681745329,1.51643076923077
"404","Vick Ballard","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,3.31564082857644,0
"405","Vincent Brown","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3.32334373788318,0
"406","Vince Young","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"407","Visanthe Shiancoe","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"408","Wes Welker","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,26,NA,NA,5.31006256334812,0.664307692307692
"409","Willis McGahee","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1,3.83140579575492,NA
